congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
90,99903,99,0,USA,Democrat,0,0,JOHNSON,-0.337,-0.035,-169.60194,464,75,0.694
90,10721,41,1,ALABAMA,Republican,0,1,EDWARDS  J.,0.177,0.161,-118.14661,358,51,0.719
90,10717,41,2,ALABAMA,Republican,0,1,DICKINSON,0.398,-0.057,-106.46247,334,48,0.727
90,195,41,3,ALABAMA,Democrat,0,1,ANDREWS  G.,-0.03,1,-87.46422,343,41,0.775
90,11037,41,4,ALABAMA,Democrat,0,1,NICHOLS,-0.042,0.872,-95.64481,335,48,0.752
90,8353,41,5,ALABAMA,Democrat,0,1,SELDEN,-0.073,0.852,-114.313,306,60,0.688
90,10706,41,6,ALABAMA,Republican,0,1,BUCHANAN,0.146,-0.118,-214.50396,370,94,0.56
90,1Democrat0,41,7,ALABAMA,Democrat,0,1,BEVILL,-0.213,0.976,-172.67168,361,76,0.62
90,5058,41,8,ALABAMA,Democrat,0,1,JONES  R.,-0.358,0.866,-76.79452,346,29,0.801
90,11039,81,1,ALASKA,Republican,0,1,POLLOCK,0.095,0.05,-144.07495,304,58,0.623
90,7845,61,1,ARIZONA,Republican,0,1,RHODES  J.,0.225,-0.033,-101.71165,341,47,0.742
90,10566,61,2,ARIZONA,Democrat,0,1,UDALL,-0.387,0.008,-64.98204,339,27,0.826
90,11050,61,3,ARIZONA,Republican,0,1,STEIGER  S.,0.447,0.246,-119.14527,375,53,0.728
90,3506,42,1,ARKANSA,Democrat,0,1,GATHINGS,0.012,0.978,-113.44528,383,56,0.744
90,6532,42,2,ARKANSA,Democrat,0,1,MILLS,-0.237,0.894,-135.03566,366,63,0.691
90,11020,42,3,ARKANSA,Republican,0,1,HAMMERSCHMI,0.253,0.239,-124.84679,376,59,0.717
90,10791,42,4,ARKANSA,Democrat,0,1,PRYOR,-0.322,0.598,-140.44086,357,68,0.675
90,10579,71,1,CALIFOR,Republican,0,1,CLAUSEN,0.16,0.036,-104.12644,329,45,0.729
90,4957,71,2,CALIFOR,Democrat,0,1,JOHNSON  H.,-0.439,0.503,-63.26522,369,19,0.842
90,6756,71,3,CALIFOR,Democrat,0,1,MOSS,-0.582,0.191,-58.77355,331,28,0.837
90,10599,71,4,CALIFOR,Democrat,0,1,LEGGETT,-0.468,0.158,-84.94488,326,31,0.771
90,10577,71,5,CALIFOR,Democrat,0,1,BURTON  P.,-0.634,-0.304,-70.04059,369,30,0.827
90,5929,71,6,CALIFOR,Republican,0,1,MAILLIARD,0.117,-0.484,-107.23591,334,55,0.725
90,1911,71,7,CALIFOR,Democrat,0,1,COHELAN,-0.519,-0.268,-68.75902,358,27,0.825
90,6483,71,8,CALIFOR,Democrat,0,1,MILLER  G.,-0.426,0.204,-53.00541,296,13,0.836
90,10583,71,9,CALIFOR,Democrat,0,1,EDWARDS  D.,-0.599,-0.419,-49.36529,319,21,0.857
90,3867,71,10,CALIFOR,Republican,0,1,GUBSER,0.205,-0.178,-119.86003,340,58,0.703
90,10461,71,11,CALIFOR,Republican,1,1,YOUNGER,0.296,-0.285,-21.74523,47,8,0.63
90,11063,71,11,CALIFOR,Republican,2,2,MCCLOSKEY,0.028,-0.634,-63.74727,186,30,0.71
90,10631,71,12,CALIFOR,Republican,0,1,TALCOTT,0.25,-0.115,-96.57077,356,42,0.762
90,9240,71,13,CALIFOR,Republican,0,1,TEAGUE  C.,0.243,-0.227,-170.05442,370,83,0.632
90,10793,71,14,CALIFOR,Democrat,0,1,WALDIE,-0.505,-0.211,-144.11672,352,47,0.664
90,6240,71,15,CALIFOR,Democrat,0,1,MCFALL,-0.468,0.442,-55.10774,368,14,0.861
90,8549,71,16,CALIFOR,Democrat,0,1,SISK,-0.388,0.52,-60.16055,312,19,0.825
90,5255,71,17,CALIFOR,Democrat,0,1,KING  C.R.,-0.468,0.144,-42.46443,243,16,0.84
90,11031,71,18,CALIFOR,Republican,0,1,MATHIAS  R.,0.119,-0.036,-97.47548,334,45,0.747
90,4514,71,19,CALIFOR,Democrat,0,1,HOLIFIELD,-0.467,0.218,-49.97001,327,19,0.858
90,8628,71,20,CALIFOR,Republican,0,1,SMITH  H.,0.421,0.026,-90.76046,355,36,0.774
90,10595,71,21,CALIFOR,Democrat,0,1,HAWKINS,-0.517,-0.369,-38.36103,285,17,0.874
90,10511,71,22,CALIFOR,Democrat,0,1,CORMAN,-0.53,0.098,-35.89634,273,12,0.877
90,10580,71,23,CALIFOR,Republican,0,1,CLAWSON,0.483,0.132,-96.46976,340,46,0.753
90,5694,71,24,CALIFOR,Republican,0,1,LIPSCOMB,0.358,-0.001,-101.41541,375,42,0.763
90,11055,71,25,CALIFOR,Republican,0,1,WIGGINS,0.359,-0.284,-152.38729,338,61,0.637
90,10790,71,26,CALIFOR,Democrat,0,1,REES,-0.484,-0.273,-69.93062,329,31,0.809
90,10763,71,27,CALIFOR,Republican,0,1,REINECKE,0.234,-0.004,-99.27053,334,43,0.743
90,10505,71,28,CALIFOR,Republican,0,1,BELL,0.183,-0.336,-99.34625,277,43,0.699
90,10573,71,29,CALIFOR,Democrat,0,1,BROWN  G.,-0.506,-0.028,-163.47729,271,51,0.547
90,10621,71,30,CALIFOR,Democrat,0,1,ROYBAL,-0.61,-0.141,-49.29817,331,20,0.862
90,10640,71,31,CALIFOR,Democrat,0,1,WILSON  C.,-0.39,0.357,-62.94115,270,25,0.792
