congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
114,21376,41,1,ALABAMA,200,0,1,BYRNE,0.535,0.328,-110.46885,1098,46,0.904
114,21192,41,2,ALABAMA,200,0,1,ROBY,0.36,0.765,-91.86408,1095,33,0.92
114,20301,41,3,ALABAMA,200,0,1,ROGERS,0.333,0.51,-137.94054,1099,61,0.882
114,29701,41,4,ALABAMA,200,0,1,ADERHOLT,0.358,0.688,-101.12159,1111,41,0.913
114,21193,41,5,ALABAMA,200,0,1,BROOKS,0.593,-0.348,-280.6334,1118,111,0.778
114,21500,41,6,ALABAMA,200,0,1,PALMER,0.788,-0.124,-101.11883,1120,39,0.914
114,21102,41,7,ALABAMA,100,0,1,SEWELL,-0.407,0.467,-178.72965,1062,89,0.845
114,14066,81,1,ALASKA,200,0,1,YOUNG,0.279,-0.005,-175.9573,1049,73,0.846
114,20902,61,1,ARIZONA,100,0,1,KIRKPATRIC,-0.161,0.005,-261.64714,1033,121,0.776
114,21501,61,2,ARIZONA,200,0,1,MCSALLY,0.321,0.014,-196.80935,1125,95,0.84
114,20305,61,3,ARIZONA,100,0,1,GRIJALVA,-0.6,-0.216,-92.59167,1051,36,0.916
114,21103,61,4,ARIZONA,200,0,1,GOSAR,0.604,-0.272,-162.15762,1083,78,0.861
114,29500,61,5,ARIZONA,200,0,1,SALMON,0.673,-0.272,-162.72287,1092,62,0.862
114,21105,61,6,ARIZONA,200,0,1,SCHWEIKERT,0.642,-0.327,-131.45632,1119,57,0.889
114,21502,61,7,ARIZONA,100,0,1,GALLEGO,-0.484,-0.011,-78.88182,1110,26,0.931
114,20304,61,8,ARIZONA,200,0,1,FRANKS,0.753,0.14,-125.80282,1094,45,0.891
114,21300,61,9,ARIZONA,100,0,1,SINEMA,-0.114,0.039,-410.7568,1087,190,0.685
114,21106,42,1,ARKANSA,200,0,1,CRAWFORD,0.355,0.571,-105.43417,1083,48,0.907
114,21503,42,2,ARKANSA,200,0,1,HILL,0.467,0.169,-114.74846,1121,48,0.903
114,21108,42,3,ARKANSA,200,0,1,WOMACK,0.328,0.699,-65.16804,1125,21,0.944
114,21563,42,4,ARKANSA,200,0,1,WESTERMAN,0.527,0.43,-77.55944,1122,34,0.933
114,21302,71,1,CALIFOR,200,0,1,LAMALFA,0.563,0.216,-111.73281,1103,40,0.904
114,21303,71,2,CALIFOR,100,0,1,HUFFMAN,-0.433,-0.463,-83.00948,1107,40,0.928
114,20958,71,3,CALIFOR,100,0,1,GARAMENDI,-0.313,-0.1,-163.44675,1082,59,0.86
114,20903,71,4,CALIFOR,200,0,1,MCCLINTOCK,0.753,-0.565,-127.01714,1121,54,0.893
114,29901,71,5,CALIFOR,100,0,1,THOMPSON,-0.399,0.08,-106.8525,1086,44,0.906
114,20538,71,6,CALIFOR,100,0,1,MATSUI,-0.444,-0.16,-69.80482,1116,27,0.939
114,21304,71,7,CALIFOR,100,0,1,BERA,-0.221,-0.047,-172.45483,1109,76,0.856
114,21305,71,8,CALIFOR,200,0,1,COOK,0.407,0.206,-111.8527,1105,40,0.904
114,20702,71,9,CALIFOR,100,0,1,MCNERNEY,-0.258,-0.114,-139.59707,1104,47,0.881
114,21109,71,10,CALIFOR,200,0,1,DENHAM,0.31,0.222,-167.65359,1117,76,0.861
114,21504,71,11,CALIFOR,100,0,1,DESAULNIER,-0.494,-0.258,-64.85372,1112,29,0.943
114,15448,71,12,CALIFOR,100,0,1,PELOSI,-0.494,-0.195,-63.92478,1038,23,0.94
114,29778,71,13,CALIFOR,100,0,1,LEE,-0.684,-0.637,-48.4082,1036,14,0.954
114,20762,71,14,CALIFOR,100,0,1,SPEIER,-0.389,-0.459,-90.19901,1036,46,0.917
