red,green,blue
73,107,18
93,137,26
94,137,27
101,142,31
110,150,44
117,154,53
120,156,55
123,156,62
124,156,65
124,154,68
127,154,73
130,154,79
133,154,84
135,153,87
136,152,87
136,151,87
135,149,86
134,148,85
135,149,86
135,149,89
135,148,90
134,147,90
133,146,90
134,147,92
135,148,90
134,145,85
132,141,80
132,140,79
133,140,77
135,141,76
135,142,71
134,143,64
133,144,59
131,149,57
128,154,52
123,156,45
119,158,39
114,161,30
110,162,21
118,167,25
146,179,65
170,191,103
189,201,132
200,206,146
202,206,146
202,205,147
199,203,147
193,200,141
185,192,126
179,186,114
167,178,97
152,169,80
143,166,74
131,161,68
122,155,61
118,152,62
116,151,64
112,149,62
108,148,59
103,146,54
98,144,50
94,140,48
88,137,45
83,133,43
80,128,38
78,124,33
79,123,36
82,125,36
85,129,35
87,133,32
89,136,30
92,141,34
96,146,34
98,149,33
99,149,35
95,149,35
90,146,33
85,140,33
77,130,30
67,119,23
57,108,14
53,100,14
53,98,21
54,97,27
55,98,29
59,102,33
64,108,38
68,113,43
70,117,45
70,119,44
70,119,42
70,120,39
66,117,31
60,111,24
57,106,22
55,100,19
51,94,20
45,88,11
43,83,10
43,81,14
43,80,12
43,79,13
44,79,15
44,81,15
44,82,12
45,82,11
44,81,12
43,80,14
44,80,17
44,79,21
44,79,22
45,79,22
46,81,23
46,82,23
47,84,24
50,87,29
52,90,33
53,92,34
57,95,38
60,98,44
61,98,48
59,96,48
57,93,46
56,90,47
55,89,46
53,88,45
54,88,45
56,90,47
57,91,47
57,92,43
57,92,41
57,92,40
57,94,38
58,97,35
59,98,34
60,99,36
59,98,35
55,93,31
53,91,30
53,90,34
53,88,37
52,85,37
51,82,38
51,80,37
50,79,35
50,78,35
51,78,36
50,79,36
51,81,36
53,85,37
54,88,36
55,90,33
56,93,30
57,95,29
61,100,31
63,105,32
67,109,34
70,112,36
71,114,36
71,114,37
71,114,36
69,112,33
65,109,30
63,106,28
63,105,30
64,106,33
66,108,34
66,108,34
66,106,31
64,105,26
61,102,25
61,103,23
62,104,23
61,104,20
59,103,14
55,101,8
55,100,9
56,101,12
57,101,15
59,102,19
61,103,23
60,100,23
59,99,22
60,98,20
60,96,20
59,94,21
58,90,22
56,85,23
54,78,24
53,72,25
53,67,29
57,68,38
65,73,50
73,79,59
87,89,71
98,97,78
103,101,77
106,105,75
106,109,73
105,112,70
103,112,66
100,111,60
92,107,49
85,103,39
77,100,29
77,98,21
105,110,40
152,140,91
179,164,140
172,159,144
166,151,136
163,149,135
166,153,140
167,154,143
164,150,139
163,149,138
159,144,131
159,144,133
164,150,141
161,149,140
160,147,137
162,148,138
169,157,147
169,157,147
167,153,141
170,157,145
171,159,146
166,153,141
174,162,152
173,161,150
73,106,19
94,136,27
99,139,32
106,145,39
110,149,44
114,151,48
117,152,51
119,153,57
120,152,59
120,150,61
122,150,65
124,149,70
127,148,76
128,148,77
127,146,75
126,144,73
125,143,72
124,142,73
122,141,73
120,140,72
122,139,74
122,139,76
124,141,78
129,144,82
131,145,82
132,144,81
133,143,78
137,144,79
140,146,81
141,147,80
139,146,75
136,145,69
134,146,64
131,149,61
126,152,54
117,152,43
111,154,34
109,159,30
110,162,24
122,168,34
143,178,62
157,184,81
169,190,105
181,197,123
184,198,129
185,198,129
185,195,126
186,193,126
186,191,124
187,191,122
181,186,111
165,176,91
154,169,80
132,158,66
122,151,64
119,149,66
115,148,64
111,147,61
105,144,55
99,141,50
94,139,47
89,135,43
84,130,41
81,127,40
79,124,39
80,123,40
81,123,40
84,125,38
85,128,34
88,132,33
91,137,36
95,142,35
96,146,32
98,148,29
98,148,31
93,147,33
88,143,29
82,135,29
75,125,28
65,115,21
56,104,15
52,97,14
53,96,23
54,96,29
56,99,31
60,103,36
66,110,41
70,115,44
70,118,45
72,120,45
72,121,44
70,121,37
64,116,27
58,109,20
55,104,18
53,98,17
47,91,13
42,84,7
41,80,11
42,79,13
42,78,12
42,78,13
43,78,14
44,80,13
45,82,11
45,83,11
44,83,10
45,84,11
46,84,16
46,83,21
45,82,23
47,82,23
47,83,23
47,84,24
49,87,26
53,89,32
54,92,35
56,94,36
58,96,41
60,97,44
61,97,48
60,96,49
58,93,48
58,92,49
58,91,49
56,89,46
55,89,45
56,91,46
57,91,44
56,90,40
55,91,39
55,91,39
56,94,37
58,96,34
59,98,34
58,97,35
55,94,32
53,91,30
52,89,30
51,86,33
51,84,35
50,81,35
50,80,37
50,79,37
48,76,35
47,75,35
48,75,35
49,77,35
51,80,36
56,87,38
59,93,40
60,96,37
60,99,32
62,102,31
65,106,33
68,109,35
70,112,36
71,113,38
72,115,39
72,115,38
72,114,37
70,113,36
67,110,33
66,108,32
65,107,32
65,106,32
66,107,36
67,107,36
66,106,35
65,104,30
64,105,28
66,108,29
68,110,30
66,109,26
61,106,17
58,103,14
59,103,16
58,103,14
58,103,16
60,103,19
61,103,24
61,101,27
59,97,27
56,93,27
54,89,25
54,88,24
53,84,22
52,80,21
51,76,23
51,71,25
51,66,27
51,63,31
57,66,40
66,72,50
76,79,60
88,89,70
98,96,75
102,101,74
104,105,73
104,108,71
103,110,67
101,110,63
95,108,55
88,104,43
110,115,53
152,144,103
173,159,143
172,160,153
166,154,145
161,147,138
156,143,134
157,143,134
159,145,137
157,143,135
154,140,132
152,138,128
152,139,128
158,144,137
