red,green,blue
129,150,181
162,191,229
159,186,224
158,186,224
157,185,224
157,184,223
157,184,223
156,183,223
154,182,222
154,182,222
153,182,222
153,181,221
153,181,221
152,181,221
151,180,220
150,180,220
150,180,220
150,180,220
150,179,220
150,179,220
149,179,220
149,179,219
150,179,219
150,179,220
150,179,220
150,180,221
151,180,221
151,180,221
151,180,221
151,180,221
151,180,221
151,180,221
151,180,221
151,180,221
150,180,221
150,180,221
150,180,221
150,180,221
153,182,222
156,185,225
158,186,226
158,186,225
156,184,225
155,183,223
152,181,223
151,181,222
150,180,221
148,179,220
147,178,219
146,177,219
145,176,218
144,174,217
143,174,217
142,174,217
141,173,216
141,171,216
140,171,215
139,171,215
139,171,215
139,171,215
138,171,215
139,171,215
140,173,216
142,174,217
143,174,217
142,173,217
138,170,215
137,170,214
136,169,215
135,167,213
134,167,212
135,169,213
137,170,215
140,172,216
144,175,218
150,180,221
152,182,222
151,181,221
150,180,221
151,181,221
148,179,219
150,181,220
157,185,223
165,191,227
173,197,231
174,198,232
170,196,229
163,191,226
160,189,226
160,188,226
160,189,225
170,196,230
184,206,236
191,211,238
208,223,245
215,226,245
216,225,244
212,223,244
205,216,241
188,206,235
177,201,231
177,199,232
175,198,230
171,195,229
168,193,227
165,191,225
162,189,223
160,187,223
158,189,226
141,181,221
105,126,152
78,72,80
108,120,146
110,131,158
103,90,68
152,117,42
154,116,15
132,91,11
141,102,21
146,110,12
143,113,28
136,109,34
137,119,61
136,118,66
135,116,77
128,108,88
136,143,158
143,174,214
140,166,204
140,163,201
138,165,207
135,166,209
132,163,207
130,162,205
128,161,204
126,158,203
123,156,201
121,154,201
130,136,149
126,118,94
121,135,142
113,137,168
108,143,191
106,141,193
101,126,163
116,123,125
113,120,115
105,125,150
99,133,178
99,134,185
100,135,184
96,131,182
105,124,161
125,132,125
118,131,115
101,114,126
98,124,164
107,122,163
105,119,153
118,107,105
121,96,75
120,92,59
136,101,63
144,104,51
155,115,50
166,124,51
177,138,76
181,140,56
219,188,112
219,191,131
217,189,123
187,144,66
186,158,90
225,207,149
235,223,182
205,180,109
153,116,42
138,103,43
155,131,66
182,171,143
203,199,207
190,185,190
188,188,192
194,191,196
183,180,185
178,175,180
