red,green,blue
136,127,87
129,115,85
125,110,83
123,111,83
119,106,79
112,96,73
109,92,71
108,97,73
108,98,73
105,96,71
105,99,74
101,97,72
99,92,69
100,93,70
104,100,73
104,101,75
107,98,75
105,94,71
135,108,80
146,104,77
156,111,83
152,111,84
131,92,63
165,120,89
183,143,114
177,138,107
210,176,145
232,212,190
202,171,144
141,94,61
161,103,66
184,119,79
168,107,69
176,122,86
173,132,86
176,142,89
163,145,87
140,146,73
138,147,80
145,157,90
148,164,86
139,152,85
145,150,85
153,158,90
163,164,96
184,165,106
181,159,98
183,166,101
198,171,112
210,169,124
218,173,129
216,173,128
231,187,140
210,172,120
227,193,136
234,194,139
238,199,138
240,206,140
132,121,84
129,111,81
126,109,82
126,117,86
121,110,81
116,103,76
117,107,78
112,104,77
111,99,74
107,98,72
108,104,75
103,98,72
100,92,69
102,97,72
102,100,73
103,101,73
107,102,72
104,95,65
125,102,74
142,100,73
148,104,77
142,104,77
128,89,60
168,124,91
182,142,112
176,139,106
227,199,169
252,243,223
217,188,157
134,89,55
154,98,62
181,113,72
162,99,60
169,116,80
159,129,86
142,128,72
146,129,76
125,110,63
133,137,75
144,154,89
145,160,84
143,155,85
148,152,91
156,161,94
168,170,95
182,170,101
189,165,106
173,163,95
188,165,106
212,171,125
211,170,128
209,166,121
216,177,121
200,164,110
208,172,111
221,183,122
230,190,128
231,193,132
138,135,88
133,118,85
128,112,83
128,120,86
122,114,82
123,116,82
119,113,80
114,104,76
107,95,71
107,97,71
108,103,75
103,97,72
102,94,70
103,98,72
97,95,67
102,98,70
137,132,105
166,158,129
182,148,113
190,144,104
187,140,99
168,125,90
154,114,80
179,137,103
180,141,111
166,129,101
153,120,90
164,127,91
160,118,81
129,85,53
141,89,53
175,114,74
166,104,66
167,112,74
169,128,85
157,130,88
154,128,100
86,60,41
125,131,69
145,157,92
146,160,86
139,157,78
139,152,77
150,161,85
176,173,101
186,173,102
187,170,106
172,163,92
193,166,111
210,168,123
212,171,129
209,172,122
221,182,127
200,160,113
208,171,120
214,178,119
226,186,125
233,191,133
131,124,87
126,111,82
137,123,89
136,134,91
129,129,87
126,124,85
119,112,79
113,103,75
107,95,71
107,96,73
108,100,76
102,94,70
99,89,66
96,89,65
138,135,117
212,210,192
252,249,230
255,253,226
254,228,193
248,209,166
234,187,137
229,178,125
231,180,126
238,192,137
239,197,148
226,185,143
190,151,117
166,127,97
168,126,95
139,97,67
137,87,55
160,102,66
149,93,57
168,115,80
177,126,89
164,129,84
156,130,97
85,57,39
123,129,67
138,152,87
157,164,91
148,162,87
135,148,77
146,155,76
165,165,91
176,167,97
179,166,106
179,157,100
192,169,109
204,167,117
215,171,124
203,170,113
217,180,124
200,162,115
203,170,121
212,181,120
221,185,124
227,184,128
130,121,88
129,114,84
143,133,93
136,137,91
128,130,88
124,124,86
119,113,81
120,109,81
115,104,78
109,98,75
106,99,75
97,87,64
111,99,82
193,187,182
253,249,234
255,241,214
252,232,208
250,233,212
247,228,207
248,227,204
238,210,184
209,173,141
198,158,121
211,170,128
217,177,134
228,191,148
232,196,156
230,194,158
216,179,143
206,167,131
206,166,131
208,164,129
186,140,106
177,132,99
176,129,95
168,137,92
161,135,98
93,63,46
101,105,48
127,140,76
145,161,85
152,165,94
141,153,85
141,154,72
148,158,77
170,159,100
183,160,111
189,163,111
193,162,112
194,160,111
198,159,109
192,173,113
209,176,124
199,164,115
213,175,122
217,186,125
222,186,120
218,172,117
129,120,86
132,122,86
135,130,88
131,128,89
124,122,86
122,117,84
118,109,79
132,115,87
127,110,84
104,94,68
109,103,79
137,126,113
