red,green,blue
140,146,87
149,159,90
150,163,88
155,169,93
159,175,97
162,179,98
165,181,99
166,183,98
165,182,97
163,179,96
160,175,94
158,171,92
157,169,89
155,166,85
155,166,86
155,168,85
157,172,82
161,179,82
164,183,84
165,186,85
166,188,88
167,189,90
169,191,92
170,192,95
171,193,96
172,195,99
175,197,107
178,199,118
182,202,129
183,204,134
185,205,134
186,206,133
183,205,127
178,202,117
175,200,105
176,201,101
177,203,104
176,201,100
172,198,94
170,196,96
172,197,104
173,198,109
175,200,114
178,201,120
180,202,124
182,202,129
180,202,134
92,94,71
31,27,29
46,35,33
78,52,41
149,109,66
130,88,54
149,102,51
126,94,65
111,70,35
173,133,78
155,123,80
133,111,91
89,74,63
48,39,37
46,36,34
40,30,28
46,36,32
34,27,27
65,52,46
42,31,29
47,34,29
142,145,88
154,160,95
153,164,93
157,171,95
162,177,99
164,181,101
165,183,100
166,183,99
165,182,96
163,179,96
161,175,95
157,170,93
155,167,88
154,166,86
152,165,85
151,166,80
155,171,80
159,178,80
161,181,80
162,183,80
164,186,85
165,188,88
166,189,90
168,191,94
170,193,97
172,195,100
174,197,105
176,198,112
178,199,119
179,200,125
179,200,127
180,202,128
180,202,129
177,200,126
175,199,117
173,198,108
174,200,107
175,200,107
172,197,103
169,195,101
168,194,102
169,194,106
171,195,111
175,198,121
178,200,129
180,201,134
182,204,136
109,117,85
34,28,31
34,28,30
79,48,35
162,116,65
149,106,60
154,104,43
138,97,47
82,49,26
169,128,74
135,110,83
135,116,99
94,75,62
67,54,46
54,44,40
38,32,33
37,31,31
48,36,32
66,50,43
42,35,36
46,36,35
142,145,87
157,161,96
157,166,97
159,172,97
164,177,100
165,180,101
164,181,100
163,181,98
162,179,95
161,178,95
160,174,95
156,169,91
153,165,86
151,164,84
150,164,81
148,164,76
152,169,75
156,176,75
158,179,76
159,181,78
160,183,79
160,184,82
162,186,87
166,189,92
170,193,99
173,195,105
174,197,109
175,198,113
176,198,117
176,198,121
176,198,124
175,198,123
176,198,124
175,197,126
175,197,126
172,196,118
172,196,114
172,196,114
168,193,109
165,191,107
165,190,108
166,190,109
168,192,114
174,196,125
176,198,133
174,196,133
175,198,131
116,130,90
33,27,31
32,29,32
73,42,30
140,86,46
154,118,73
102,66,43
153,105,45
127,91,49
162,131,87
139,116,85
146,123,101
104,81,65
73,60,52
57,45,39
44,35,33
29,25,27
60,44,37
81,59,47
84,61,46
59,47,43
144,147,86
159,163,95
160,167,97
159,169,93
163,174,97
164,178,99
163,179,100
161,178,98
159,176,95
158,175,93
157,172,91
154,167,87
151,164,84
149,163,82
148,163,79
147,164,74
149,169,73
153,174,74
156,178,75
156,180,76
157,181,78
158,182,80
158,183,82
161,186,88
168,191,99
173,195,107
175,197,113
174,196,114
173,195,114
173,195,116
172,195,117
171,194,116
171,194,118
174,196,127
175,196,131
171,193,124
169,192,119
169,192,118
165,189,114
161,185,111
159,184,111
161,186,115
165,189,120
166,190,124
167,190,126
166,189,127
166,190,125
135,156,105
40,37,38
31,29,33
39,28,27
100,53,32
120,76,41
129,95,57
119,87,60
152,115,67
178,147,91
136,107,70
147,123,102
129,107,88
91,76,67
61,47,39
74,56,44
39,33,32
50,38,35
78,56,44
65,47,39
83,56,41
145,147,85
159,162,93
160,166,93
159,167,90
162,171,95
163,174,97
163,176,98
160,176,99
157,174,95
156,173,93
154,170,88
152,166,85
149,163,84
147,161,82
144,160,77
145,163,74
148,167,73
151,172,73
154,176,74
155,178,75
156,180,76
155,180,76
156,181,81
160,185,90
164,188,96
169,192,104
172,194,113
171,193,114
168,191,111
168,190,111
166,189,108
165,188,108
167,189,115
170,190,123
170,190,127
167,187,123
164,186,119
165,186,118
163,185,117
162,185,117
158,182,115
160,183,120
164,187,126
165,187,128
162,185,123
160,183,122
158,181,121
