red,green,blue
60,87,33
86,127,52
77,114,47
42,70,9
51,82,25
65,102,33
55,70,23
50,52,26
64,81,45
63,95,39
70,116,31
67,111,22
72,112,29
64,94,30
55,82,21
85,129,50
49,81,22
48,76,17
74,102,47
57,79,42
40,60,19
85,125,52
67,103,38
48,73,15
51,88,14
58,107,18
83,131,41
76,124,29
66,110,27
44,77,16
76,114,42
80,125,46
61,103,18
65,106,17
47,78,12
63,96,22
45,71,7
105,84,26
163,107,57
224,151,73
185,125,72
177,117,67
177,112,59
169,104,52
167,101,47
163,97,44
136,84,48
90,63,54
99,65,49
148,82,42
139,79,42
126,74,43
130,74,41
114,65,41
77,49,41
66,42,38
66,44,41
72,46,40
86,51,37
93,55,36
98,57,38
89,54,41
75,45,35
60,38,35
58,37,35
71,42,34
84,48,34
73,40,26
55,80,30
57,80,30
46,58,19
27,29,12
42,57,22
73,104,49
57,56,28
66,76,31
87,117,58
88,125,59
71,108,35
62,95,18
50,72,19
67,93,40
47,59,26
68,95,39
51,59,29
53,69,15
93,136,50
100,145,64
80,123,44
86,127,53
77,118,50
43,72,16
29,54,6
50,90,8
51,102,7
49,95,7
71,113,29
42,78,9
48,77,19
69,102,33
81,126,46
56,91,17
49,76,14
70,96,32
49,68,22
89,74,23
126,83,48
218,148,76
219,148,78
196,130,73
174,109,56
154,91,43
153,90,41
167,98,42
134,85,53
122,76,52
169,94,43
171,93,38
134,76,41
97,59,43
66,46,44
62,42,40
88,54,39
123,68,37
146,78,36
156,82,33
154,79,32
154,81,34
148,78,33
151,79,33
154,82,36
143,78,37
120,65,34
116,64,34
97,54,34
74,42,28
27,37,11
32,36,15
37,38,20
33,36,17
32,39,14
49,61,25
43,45,17
46,50,17
48,47,20
49,55,20
56,72,27
63,81,32
52,59,23
59,84,28
47,74,21
49,66,23
57,66,23
46,53,22
69,115,20
61,112,14
67,111,23
62,101,23
58,91,25
51,89,20
53,82,31
54,84,31
55,92,20
52,98,15
44,77,15
50,82,16
62,95,17
65,90,32
61,85,32
46,52,18
47,74,9
50,77,12
53,72,31
88,86,32
114,77,42
202,137,70
218,150,80
202,136,76
173,109,59
151,90,43
153,90,41
149,91,46
140,84,52
165,92,46
139,79,42
103,62,42
74,50,44
70,49,45
113,67,41
151,82,36
159,84,33
148,78,35
137,72,33
126,66,32
126,66,33
130,69,34
134,70,33
140,72,31
143,73,32
155,81,34
154,81,35
149,77,33
156,81,33
123,63,26
30,35,16
37,38,17
39,42,20
35,40,16
36,40,13
51,53,16
42,44,16
47,46,20
56,55,26
70,85,40
87,123,56
92,132,64
70,103,44
60,91,31
51,81,18
56,97,12
40,60,15
49,73,15
63,108,14
85,120,61
72,117,29
53,89,15
45,64,16
54,89,16
55,87,26
40,70,6
47,84,4
37,65,8
45,68,16
64,96,23
47,76,14
43,77,6
30,56,2
35,45,11
51,78,15
82,111,48
69,87,43
88,102,39
104,74,38
180,120,60
226,157,80
204,140,76
179,116,63
153,93,45
151,92,43
133,83,53
155,87,46
114,69,46
76,50,43
83,54,45
94,59,45
130,74,41
145,79,39
113,64,39
97,57,38
92,55,37
93,55,38
92,54,35
93,52,33
97,55,35
94,53,33
90,49,29
83,46,31
93,53,38
96,55,38
98,55,36
112,61,34
99,52,28
38,43,25
50,64,30
58,75,29
45,49,17
61,74,21
55,63,25
51,50,25
62,57,29
67,67,31
89,113,50
88,114,53
87,99,52
68,73,32
65,72,34
76,82,46
52,74,14
35,53,10
49,76,16
60,82,34
66,80,39
74,109,38
57,95,16
54,84,21
53,81,28
51,78,26
56,96,16
37,77,3
32,60,4
42,68,8
75,116,30
63,95,34
46,82,10
41,68,10
38,67,8
63,91,22
89,117,46
73,73,34
48,60,11
77,77,16
149,98,44
207,140,68
179,125,74
179,121,67
169,108,55
130,83,49
137,83,52
108,68,49
81,55,47
99,61,45
110,66,44
124,72,43
105,63,41
108,63,40
126,70,35
146,78,31
159,84,33
161,86,35
152,79,30
147,76,30
145,76,32
145,76,31
134,68,25
130,66,26
123,63,27
122,65,30
120,63,30
110,60,33
80,45,28
39,53,22
59,91,37
69,99,27
77,111,24
63,93,19
37,41,24
40,41,20
56,54,24
64,59,29
61,57,26
64,59,28
68,60,29
72,79,33
75,102,40
76,97,41
56,77,20
42,60,21
63,85,41
75,109,43
64,94,26
60,93,24
48,80,17
59,86,21
65,79,22
64,79,28
61,99,27
66,106,32
52,89,13
44,89,0
69,111,28
67,95,37
47,65,25
51,74,17
49,68,15
60,80,21
53,69,10
51,46,17
61,84,14
70,101,20
115,94,40
145,94,46
182,123,64
183,123,64
168,109,56
142,88,54
116,75,53
88,61,53
100,64,47
123,73,43
116,67,40
128,73,40
152,83,37
162,86,34
152,80,34
127,67,32
115,64,36
111,62,37
108,59,34
119,65,34
130,71,35
128,66,29
129,65,24
133,65,23
137,68,23
143,73,27
146,76,30
149,78,32
120,64,29
51,78,29
56,81,35
80,114,39
87,122,48
63,95,28
50,57,28
42,45,26
49,48,21
64,60,30
59,57,28
64,58,29
68,64,29
71,91,26
47,78,12
63,63,16
67,79,21
66,82,38
49,55,32
53,63,27
77,111,36
62,93,25
46,56,20
64,85,28
71,92,15
60,78,15
74,117,32
71,108,37
67,102,34
51,87,14
45,72,17
59,84,21
66,85,27
75,100,35
65,87,26
68,103,9
50,66,11
