red,green,blue
152,178,214
158,185,224
154,182,222
152,181,221
150,179,220
149,179,220
151,180,220
152,180,221
151,181,221
152,182,222
157,185,225
152,181,222
146,177,219
142,173,216
139,171,215
139,171,215
139,171,215
133,166,212
139,171,215
149,179,220
156,185,224
169,195,229
162,190,226
192,212,238
204,219,242
173,196,229
158,183,217
127,128,137
126,123,120
141,145,136
137,150,158
141,163,192
140,169,211
131,165,209
123,153,193
111,145,191
104,134,178
100,131,178
125,132,145
153,130,104
170,133,66
190,155,70
196,168,99
184,160,101
157,130,82
188,183,186
184,180,185
184,178,183
187,182,187
174,169,174
189,183,188
188,182,187
186,178,181
190,184,188
163,159,164
158,158,164
144,145,152
142,138,144
154,148,153
162,156,160
163,158,160
173,167,170
177,170,173
174,165,167
163,156,159
148,141,147
141,134,141
111,106,113
153,178,214
159,187,225
156,184,223
153,181,221
150,179,220
148,178,219
149,178,219
152,181,221
154,183,222
155,184,223
160,188,227
156,184,224
150,179,220
144,175,217
140,172,215
137,170,214
136,168,213
130,164,210
133,167,212
142,174,217
151,181,221
172,197,231
165,193,228
179,203,233
194,213,239
173,196,228
164,189,223
158,182,216
151,179,220
142,175,221
138,171,216
143,175,217
143,174,217
127,152,189
125,147,182
132,140,155
124,107,88
145,118,77
181,156,100
176,154,96
145,120,66
139,112,58
142,117,71
128,109,70
122,100,68
151,148,147
157,157,165
153,154,161
180,175,180
172,167,171
174,172,178
195,189,194
201,196,201
169,167,173
149,145,150
134,127,130
150,143,147
166,159,163
171,165,169
176,170,173
177,173,177
176,171,176
179,174,178
173,167,170
158,151,156
136,129,134
127,119,124
95,86,89
155,180,215
162,189,226
158,186,223
154,183,222
151,180,220
148,178,219
147,177,218
149,179,219
153,183,222
160,187,225
163,191,228
158,187,225
152,182,222
147,177,218
142,173,216
137,169,213
134,166,211
128,162,208
127,161,207
132,166,211
143,175,217
152,183,222
169,196,230
188,208,236
203,219,242
187,207,235
168,194,227
160,187,223
152,181,219
141,170,209
135,165,206
144,169,203
150,153,161
131,106,80
149,125,84
164,145,99
127,117,101
120,129,141
106,125,150
86,89,95
98,75,35
96,74,43
77,62,43
34,35,36
