y,cb,cr
158,147,115
174,149,113
172,149,113
170,150,113
169,150,113
168,150,113
168,150,112
167,150,112
167,150,112
166,150,112
166,150,112
166,150,112
166,151,112
167,150,112
167,150,112
167,150,113
167,150,112
167,150,112
167,150,112
170,150,112
172,150,113
170,150,112
168,150,112
166,151,112
164,151,111
163,151,112
161,152,111
160,152,111
159,152,111
159,152,111
159,152,110
161,152,111
161,152,111
158,152,111
156,153,111
155,153,110
158,152,110
163,151,111
167,150,112
167,150,112
167,150,112
175,148,113
182,147,115
179,147,114
173,149,113
177,148,113
192,144,116
205,140,120
209,138,122
199,141,120
187,145,116
182,146,115
178,147,114
171,148,113
147,141,118
99,124,133
102,129,129
113,104,140
121,99,142
120,106,138
126,113,133
133,122,128
136,129,126
154,146,115
158,150,113
156,150,112
153,151,111
150,152,111
145,153,111
133,138,120
134,146,115
134,155,109
125,146,115
124,144,115
127,155,109
126,156,109
124,146,115
120,140,118
121,139,125
109,124,135
108,106,146
119,95,150
136,87,152
150,86,151
180,93,145
161,92,147
166,98,142
178,100,140
113,93,149
141,107,139
183,130,129
173,130,129
165,130,129
176,130,129
172,130,130
157,129,129
174,130,130
175,129,131
166,130,129
153,129,130
174,130,129
180,129,130
177,130,129
171,129,131
161,129,131
167,129,130
183,128,131
175,129,130
157,129,130
159,130,129
178,130,129
170,131,127
164,132,125
149,132,125
128,132,127
159,146,115
175,149,113
172,149,113
171,149,113
170,149,113
169,150,113
168,150,113
167,150,113
166,150,112
166,150,112
166,150,112
166,150,112
166,150,112
167,150,112
168,150,112
168,150,112
168,150,112
168,150,112
168,150,112
169,150,112
172,150,113
172,150,113
170,150,112
168,150,112
166,151,112
164,151,112
162,151,111
161,151,111
159,152,111
159,152,111
158,152,111
160,152,110
159,152,111
157,153,110
155,153,110
153,153,110
155,153,110
160,152,111
164,151,112
166,151,111
168,150,112
174,149,113
180,147,115
181,147,115
177,148,114
174,148,113
186,145,115
198,143,118
204,140,119
202,141,118
178,145,116
174,146,115
169,146,115
158,143,119
136,131,129
112,121,137
127,135,127
158,145,116
162,151,111
158,153,111
157,154,110
159,153,110
162,152,110
161,150,112
159,150,112
157,151,111
154,151,111
152,152,110
149,153,111
146,154,109
141,155,110
137,154,110
134,156,108
127,156,109
127,156,109
126,154,111
124,141,123
133,116,139
152,99,149
137,91,152
158,87,150
158,83,149
158,82,147
153,85,146
162,94,143
143,96,144
133,99,143
148,103,140
112,99,148
121,107,141
178,130,129
173,129,131
160,129,131
175,130,130
178,129,131
162,129,131
172,130,129
180,129,131
168,129,131
157,129,131
170,130,129
181,129,130
176,130,129
177,130,130
169,127,132
179,128,132
182,130,129
165,130,129
148,130,129
147,130,128
138,131,126
122,130,127
120,130,128
125,129,130
138,128,131
159,146,115
175,149,113
172,148,113
172,149,113
171,149,113
170,149,113
169,150,113
168,150,112
167,150,112
166,150,112
165,150,112
165,150,112
166,150,112
166,150,112
167,150,112
169,150,112
170,149,112
169,150,112
169,150,112
170,149,112
172,150,113
174,149,113
171,150,112
170,150,112
167,150,112
164,151,112
163,151,112
161,151,112
160,152,111
159,152,111
158,152,111
159,152,110
158,152,110
156,153,111
154,153,110
153,153,110
154,153,110
158,153,111
161,152,111
163,151,111
166,151,111
172,149,113
182,147,115
185,146,116
178,148,114
172,149,112
181,147,114
197,143,118
196,143,118
193,143,116
183,144,117
181,146,115
177,146,114
176,147,114
175,149,113
170,149,114
168,149,113
165,150,112
162,150,112
158,151,111
156,151,111
157,151,111
160,150,112
161,150,112
161,150,112
