y,cb,cr
100,91,118
117,86,118
126,88,119
130,90,120
131,94,121
132,97,122
134,101,124
133,101,125
131,101,126
130,102,125
130,104,125
130,105,126
131,103,127
129,102,129
131,101,130
130,97,130
130,92,128
130,87,123
128,79,117
131,74,116
155,86,123
177,98,127
181,102,129
178,102,129
171,99,130
158,93,129
141,92,124
129,94,120
127,95,119
121,95,116
115,94,114
108,96,113
103,97,114
103,96,116
107,92,116
113,89,115
118,85,114
119,85,113
112,88,112
99,93,112
83,96,114
80,103,114
85,105,114
94,104,113
99,103,112
99,100,112
92,97,111
83,99,113
74,101,115
68,103,116
67,105,117
69,104,117
70,102,117
70,103,116
71,105,116
70,108,117
71,107,116
75,108,116
80,109,115
84,110,116
85,112,115
82,114,116
80,114,117
79,114,116
81,112,116
80,110,116
82,108,116
84,106,115
81,106,116
77,108,116
75,112,117
73,114,118
71,114,119
70,114,119
75,112,118
81,109,117
83,105,116
89,102,115
94,101,115
96,101,114
94,101,115
90,101,115
89,102,115
91,102,116
89,101,116
88,100,115
88,98,115
84,95,115
83,95,115
85,97,115
85,100,116
82,102,117
79,102,118
75,105,119
69,109,122
66,115,125
74,119,126
90,120,129
101,117,131
105,112,129
104,109,127
96,104,125
106,102,128
136,111,134
152,120,135
145,121,135
147,122,135
143,121,135
142,121,135
147,123,134
146,122,134
152,122,133
151,121,134
151,121,134
152,122,134
151,122,133
148,123,133
141,123,134
137,123,135
134,123,135
128,123,135
119,123,136
118,123,136
117,122,136
110,121,137
105,119,139
100,118,140
92,116,142
83,116,142
97,121,137
108,124,134
119,126,130
132,128,128
137,128,128
135,129,127
105,93,120
121,89,119
123,89,120
123,89,120
120,91,121
118,94,122
115,95,123
110,93,122
106,92,123
105,94,123
111,96,124
123,99,125
129,100,127
135,100,130
136,98,130
134,95,129
134,93,127
134,89,122
128,83,116
133,81,116
152,87,122
161,91,125
169,96,128
175,100,131
176,101,131
166,96,131
148,94,129
128,95,124
121,98,121
117,98,119
110,98,117
104,99,116
102,100,116
103,99,117
108,95,117
114,92,116
118,87,115
115,88,114
105,91,112
93,97,113
83,101,114
83,105,115
90,105,114
95,103,113
98,101,112
97,98,112
87,94,112
77,97,113
67,101,115
65,105,117
66,106,118
67,103,117
70,102,116
74,101,116
74,104,115
74,106,116
75,107,116
79,109,115
82,109,115
84,110,116
85,112,116
86,114,117
85,114,117
84,113,117
81,112,117
78,110,116
80,108,116
80,107,116
77,108,116
74,110,117
71,112,118
69,114,119
67,115,120
70,115,119
78,112,118
88,108,116
90,104,116
93,101,115
95,101,115
94,101,115
93,102,115
91,101,115
89,101,115
90,102,116
91,103,116
93,101,116
92,98,115
88,97,115
87,97,115
86,97,115
84,102,116
79,106,117
73,107,118
70,106,119
67,109,121
65,112,123
66,116,125
76,119,127
89,118,130
97,115,130
101,111,129
123,113,132
144,122,134
141,124,134
136,124,134
135,124,134
139,124,134
139,124,134
138,124,134
134,124,133
135,124,134
140,124,134
142,124,134
139,123,134
135,123,135
135,123,135
133,123,135
134,123,135
135,124,134
129,124,135
119,123,136
113,123,137
112,123,137
108,123,137
103,122,138
99,120,139
95,119,140
91,117,141
82,116,142
74,117,142
72,120,139
90,124,133
106,126,131
121,128,128
125,129,128
108,95,121
119,90,120
119,90,121
114,90,121
108,90,121
100,88,122
95,86,121
93,84,121
94,83,122
100,85,123
112,89,125
126,95,126
133,99,128
140,99,130
139,95,130
137,92,128
138,90,125
139,89,123
133,87,117
133,88,114
148,92,120
