y,cb,cr
217,138,114
211,142,114
209,142,114
208,142,114
209,143,114
212,141,115
216,139,115
221,136,115
226,133,115
227,133,116
228,132,116
228,132,117
229,132,117
229,132,117
228,132,117
228,132,116
220,136,116
215,138,116
213,139,116
212,139,115
211,140,116
208,140,115
208,139,116
208,139,116
209,139,115
209,139,115
209,139,116
208,139,116
206,139,116
206,139,116
206,139,116
206,139,116
206,139,116
207,138,116
207,138,117
207,138,117
209,137,117
216,134,117
215,135,117
214,134,117
219,133,117
219,133,118
219,132,118
218,130,118
218,131,118
219,130,119
219,129,119
218,129,120
211,132,119
205,136,118
205,136,118
207,134,119
208,133,120
212,129,120
212,130,120
210,131,120
211,127,122
208,127,121
204,130,120
200,133,120
198,133,120
198,133,120
201,132,120
203,132,120
202,133,120
202,132,120
201,131,120
200,132,121
200,131,121
199,130,121
199,130,122
199,130,123
200,129,123
200,129,124
195,128,124
169,125,129
159,123,132
158,124,132
157,123,132
157,122,132
156,124,132
154,123,133
154,124,133
152,124,132
151,124,132
151,125,131
150,125,131
149,125,132
149,124,133
146,124,133
136,123,132
129,122,131
128,122,132
123,121,132
113,122,131
107,121,131
104,122,132
98,122,132
93,122,131
89,123,130
90,120,131
85,120,131
84,119,131
81,121,130
79,121,130
76,118,131
67,121,128
65,124,129
62,124,128
66,125,128
75,120,127
59,120,126
41,122,126
37,124,126
42,125,127
46,124,125
43,123,125
53,114,131
51,113,130
44,118,127
29,124,127
29,123,127
33,123,126
32,123,128
31,123,128
30,123,125
31,122,126
31,123,127
30,124,126
39,121,129
44,117,131
40,117,127
38,119,125
42,116,129
47,112,130
218,138,114
211,141,114
209,142,114
208,142,114
209,142,114
212,141,115
215,139,115
220,137,115
226,133,115
228,132,115
228,132,116
228,132,117
229,132,117
229,132,117
228,132,117
226,133,116
217,138,115
214,138,116
213,139,116
212,139,115
211,140,115
207,140,116
208,140,116
208,139,116
209,139,116
209,139,116
209,139,116
208,138,117
206,139,116
207,139,116
206,139,116
205,139,116
206,138,116
207,138,116
207,138,117
209,137,117
209,136,118
217,134,117
218,133,117
217,133,117
219,133,117
219,133,118
219,132,118
218,130,118
219,130,119
219,130,119
219,129,119
218,129,120
213,132,119
206,135,118
205,135,119
208,133,119
209,132,120
212,130,120
213,129,120
211,130,120
213,127,121
210,127,121
207,129,121
202,132,121
199,132,120
199,132,120
202,132,120
203,133,120
202,132,120
202,132,120
200,132,121
200,132,121
200,131,121
199,131,121
199,131,122
199,130,122
199,129,123
199,129,124
195,129,124
165,125,129
159,123,132
159,123,132
157,124,132
156,123,132
155,123,132
155,123,132
154,124,133
153,124,132
152,125,132
151,124,132
150,124,132
149,125,132
149,124,132
146,124,132
138,123,133
128,122,132
124,124,132
122,122,133
114,120,134
107,121,132
105,122,133
100,122,132
90,123,131
92,121,130
91,118,131
82,121,130
83,119,131
