EmissionWavelength,Intensity
380,195.93051
381,168.58402
382,176.21786
383,171.31038
384,150.10849
385,155.73556
386,152.45711
387,177.83195
388,167.43178
389,157.96084
390,173.52571
391,167.60262
392,151.36261
393,114.11687
394,196.49257
395,180.47042
396,192.86418
397,158.21693
398,181.34285
399,195.56686
400,160.39447
401,202.30093
402,170.52581
403,243.40482
404,283.79121
405,329.3176
406,364.73177
407,455.51165
408,578.43208
409,717.0732
410,814.09327
411,999.71642
412,1286.3548
413,1475.7186
414,1829.8385
415,2208.5716
416,2671.2202
417,3191.0584
418,3616.0394
419,4095.0244
420,4643.0095
421,5125.0699
422,5592.2279
423,5993.262
424,6579.2085
425,6865.2765
426,7348.5054
427,7776.6403
428,8313.7528
429,9185.5402
430,9926.6379
431,10672.628
432,11773.099
433,12849.195
434,13976.406
435,15275.596
436,16716.086
437,17980.764
438,19315.423
439,20923.617
440,22323.988
441,23465.18
442,24966.788
443,25851.175
444,27328.538
445,28885.467
446,29712.945
447,31039.799
448,32491.256
449,34256.277
450,35463.412
451,37855.419
452,39926.739
453,41813.685
454,44082.994
455,45430.94
456,48687.68
457,49993.58
458,53259.126
459,55950.998
460,57791.01
461,61154.322
462,64059.79
463,66874.49
464,69207.354
465,72907.046
466,74769.59
467,77585.271
468,79982.648
469,81445.795
470,83451.284
471,84888.47
472,86424.567
473,86390.385
474,87391.724
475,88247.5
476,87941.992
477,89021.168
478,89720.681
479,89861.035
480,91173.633
481,91950.053
482,92234.622
483,92614.617
484,92972.547
485,92664.398
486,93993.654
487,93770.912
488,94280.218
489,94693.186
490,94833.151
491,95360.752
492,96129.635
493,96886.55
494,98003.415
495,99888.534
496,101336.13
497,102676.25
498,104802.79
499,106064.45
500,108961.23
501,112467.88
502,114642.93
503,117992.79
504,121318.65
505,122553.84
506,123357.57
507,125462.75
508,126577.92
509,124604.87
510,122645.41
511,121885.63
512,120651.78
513,117359.09
514,114767.55
515,111652.73
516,109635.8
517,106336.77
518,104074.18
519,101284.6
520,98638.623
521,96765.289
522,93901.767
523,92236.075
524,89626.107
525,87636.701
526,85307.721
527,83604.954
528,81544.483
529,80244.448
530,78405.957
531,77424.32
532,76831.919
533,74235.261
534,72516.12
535,71386.082
536,70491.13
537,69041.106
538,68452.409
539,67022.756
540,65330.925
541,64421.761
542,63791.835
543,62285.771
544,61010.504
545,60412.318
546,58967.419
547,58290.777
548,57755.461
549,55979.183
550,54756.02
551,54099.621
552,52313.305
553,51275.05
554,50828.672
555,49081.733
556,48230.337
557,47652.717
558,46597.178
559,45347.526
560,43872.188
561,43817.879
562,42733.396
563,41974.907
564,40897.602
565,40343.153
566,39664.136
567,38107.274
568,38040.595
569,37042.346
570,36091.704
571,35229.085
572,34696.547
573,34264.861
574,32970.551
575,32470.959
576,32065.443
577,31096.122
578,30959.158
579,29943.249
580,29372.979
581,29070.322
582,28437.991
583,27871.643
584,27378.466
585,26932.276
586,26390.34
587,25766.241
588,25509.297
589,24838.476
590,24399.654
591,24120.519
592,23627.387
593,23269.678
594,22673.916
595,22268.749
596,22010.105
597,21811.205
598,21025.903
599,21142.651
600,20387.221
601,20329.921
602,19937.367
603,19536.279
604,19684.539
605,19048.776
606,19049.613
607,18565.122
608,18441.638
609,17908.071
610,18167.082
611,17748.936
612,17533.143
613,17557.195
614,17269.292
615,17028.632
616,16868.014
617,16939.965
618,16639.823
619,16487.466
620,16511.848
621,16416.499
622,16216.704
623,15600.598
624,15856.882
625,15694.952
626,15257.414
627,15496.537
628,15137.307
629,14680.495
630,14830.411
631,14731.273
632,14426.223
633,14303.333
634,14132.949
635,13819.257
636,13858.501
637,13795.332
638,13607.708
639,13566.288
640,13378.881
641,13124.137
642,13262.886
643,13239.294
644,12958.726
645,13052.329
646,12952.067
647,12898.148
648,12962.565
649,12910.651
650,12624.699
651,12609.799
652,12496.499
653,11982.256
654,12007.841
655,11810.486
656,11552.761
657,11586.225
658,11620.214
659,11366.037
660,11859.276
661,11329.338
662,11854.256
663,11538.848
664,11736.672
665,11477.633
666,11585.682
667,11804.674
668,11772.209
669,11529.381
670,11472.481
671,11454.482
672,11619.75
673,11343.356
674,11331.484
675,11511.491
676,11602.936
677,11457.283
678,11352.499
679,11533.32
680,11573.26
