x,y
3.759630117390078397e+01,1.400521474991301218e+01
3.768684049347169207e+01,1.399828456207210436e+01
3.777737981304258597e+01,1.399233055227625044e+01
3.786791913261349407e+01,1.398740394309193746e+01
3.795845845218440218e+01,1.398356567966654573e+01
3.804899777175531028e+01,1.398088137319268398e+01
3.813953709132621839e+01,1.397941495404635859e+01
3.823007641089712649e+01,1.397922128755676852e+01
3.832061573046802749e+01,1.398033837252325995e+01
3.841115505003892849e+01,1.398278013351079885e+01
3.850169436960983660e+01,1.398653111093679158e+01
3.859223368918074470e+01,1.399154439919262316e+01
3.868277300875165281e+01,1.399774386661424863e+01
3.877331232832256092e+01,1.400503100378345955e+01
3.884127351238002035e+01,1.401119208396016447e+01
3.886385164789346192e+01,1.401330600447438712e+01
3.895439096746436292e+01,1.402245889233696374e+01
3.904493028703527102e+01,1.403235344966311970e+01
3.913546960660617913e+01,1.404293264482685544e+01
3.922600892617708723e+01,1.405418194402662913e+01
3.927949656459104233e+01,1.406118134564913191e+01
3.931654824574799534e+01,1.406608954376719112e+01
3.940708756531889634e+01,1.407869727173472896e+01
3.949762688488979734e+01,1.409219465296544094e+01
3.958816620446071255e+01,1.410675850716840074e+01
3.961385156100824645e+01,1.411117060733809403e+01
3.967870552403161355e+01,1.412241920935300676e+01
3.976924484360252166e+01,1.413953438291934006e+01
3.985978416317342976e+01,1.415848514547431414e+01
3.987158323316310060e+01,1.416115986902705970e+01
3.995032348274433076e+01,1.417933407822143366e+01
4.004086280231523887e+01,1.420282417798510721e+01
4.006991403238757954e+01,1.421114913071602714e+01
4.013140212188613987e+01,1.422945113361191716e+01
4.022194144145704797e+01,1.426019045291279497e+01
4.022447272269319996e+01,1.426113839240499281e+01
4.031248076102795608e+01,1.429668241005630236e+01
4.034394288857378541e+01,1.431112765409395493e+01
4.040302008059886418e+01,1.434148157880597019e+01
4.043694047468238040e+01,1.436111691578292238e+01
4.049355940016976518e+01,1.439939355352328931e+01
4.050918059668421733e+01,1.441110617747188627e+01
4.056523076171994546e+01,1.446109543916085016e+01
4.058409871974067329e+01,1.448171890883177682e+01
4.060918888369835145e+01,1.451108470084981938e+01
4.064417946327550624e+01,1.456107396253878150e+01
4.067272761149909144e+01,1.461106322422774539e+01
