x,y
6.094064659759519387e-01,2.256876399371936870e+01
6.117447723647293500e-01,2.256556987050328900e+01
6.140830787535070945e-01,2.256307888790471949e+01
6.164213851422846169e-01,2.256127349164684048e+01
6.187596915310621393e-01,2.256013292570582962e+01
6.210979979198397727e-01,2.255962785075710286e+01
6.234363043086172951e-01,2.255971650966039732e+01
6.257746106973948175e-01,2.256034338476407086e+01
6.281129170861723399e-01,2.256144077751291377e+01
6.304512234749499733e-01,2.256293299760010029e+01
6.327895298637276067e-01,2.256474212837294147e+01
6.351278362525050181e-01,2.256679392537441942e+01
6.374661426412826515e-01,2.256902246587376126e+01
6.398044490300601739e-01,2.257137264386374298e+01
6.400660111755364090e-01,2.257164639692834385e+01
6.421427554188376963e-01,2.257368586414452949e+01
6.444810618076153297e-01,2.257601720489503094e+01
6.468193681963928521e-01,2.257835326496521589e+01
6.491576745851703745e-01,2.258066860476063198e+01
6.514959809739477858e-01,2.258293760395893202e+01
6.538342873627255303e-01,2.258513369100333534e+01
6.561725937515030527e-01,2.258723022801116898e+01
6.562440049319655522e-01,2.258729100354124242e+01
6.585109001402805751e-01,2.258907748697232876e+01
6.608492065290582085e-01,2.259078257562554626e+01
6.631875129178357309e-01,2.259234232346661742e+01
6.655258193066132533e-01,2.259376095088803638e+01
6.678641256953908867e-01,2.259505504910453766e+01
6.702024320841684091e-01,2.259625329629103518e+01
6.725407384729459315e-01,2.259739495424838296e+01
6.748790448617234539e-01,2.259852748766219221e+01
6.772173512505010873e-01,2.259970371441463755e+01
6.795556576392787207e-01,2.260097886185072369e+01
6.818939640280561321e-01,2.260240782121483605e+01
6.826495276338175877e-01,2.260293561015414454e+01
6.842322704168337655e-01,2.260397798907125022e+01
6.865705768056112879e-01,2.260576126840910405e+01
6.889088831943888103e-01,2.260783056482448927e+01
6.912471895831664437e-01,2.261022161478480541e+01
6.935854959719438551e-01,2.261296534268587521e+01
6.959238023607214885e-01,2.261608932206354083e+01
6.975812558865236435e-01,2.261858021676704311e+01
6.982621087494990109e-01,2.261957589671620639e+01
7.006004151382766443e-01,2.262338481015006408e+01
7.029387215270541667e-01,2.262766591197017974e+01
7.052770279158316891e-01,2.263246949186247292e+01
7.060534945217316061e-01,2.263422482337993813e+01
7.076153343046093225e-01,2.263777217517970897e+01
7.099536406933868449e-01,2.264372877822324881e+01
7.120777191150449159e-01,2.264986942999284025e+01
7.122919470821643673e-01,2.265050937668591047e+01
7.146302534709418897e-01,2.265825800369965037e+01
7.165315529228934999e-01,2.266551403660574238e+01
7.169685598597195231e-01,2.266729388588912997e+01
7.193068662484970455e-01,2.267801217702566774e+01
7.199169457718519460e-01,2.268115864321864450e+01
7.216451726372745679e-01,2.269097281056205873e+01
7.225633256129627702e-01,2.269680324983153952e+01
7.239834790260522013e-01,2.270687784268942977e+01
7.247018169934984488e-01,2.271244785644444164e+01
7.263217854148296126e-01,2.272652803703139313e+01
7.264908016877021923e-01,2.272809246305734021e+01
7.280517840153114539e-01,2.274373706967023878e+01
7.286600918036072461e-01,2.275032441872696864e+01
7.294781696905987545e-01,2.275938167628314091e+01
7.308374579608024613e-01,2.277502628289603948e+01
7.309983981923848795e-01,2.277686702167094523e+01
7.322246907491170020e-01,2.279067088950893805e+01
7.333367045811624019e-01,2.280277248316549077e+01
7.336750792628350393e-01,2.280631549612184017e+01
7.352837035956641953e-01,2.282196010273473519e+01
7.356750109699399243e-01,2.282544758704184673e+01
7.371273348818014881e-01,2.283760470934763731e+01
7.380133173587174467e-01,2.284432846397175254e+01
7.392791608601605446e-01,2.285324931596053588e+01
7.403516237474950801e-01,2.286010111589360605e+01
7.418428249714916767e-01,2.286889392257343445e+01
7.426899301362726025e-01,2.287346079392652953e+01
7.449172035810420756e-01,2.288453852918633658e+01
7.450282365250501249e-01,2.288505040027019888e+01
7.473665429138277583e-01,2.289499857479260569e+01
7.486776886562851452e-01,2.290018313579923515e+01
7.497048493026052807e-01,2.290403438663077651e+01
7.520431556913828031e-01,2.291228789735270510e+01
7.530962138913308568e-01,2.291582774241213372e+01
7.543814620801604365e-01,2.292004178909536805e+01
7.567197684689379589e-01,2.292757696545187329e+01
7.579235913724609031e-01,2.293147234902503584e+01
7.590580748577154813e-01,2.293517890401994208e+01
7.613963812464930037e-01,2.294315176006873358e+01
7.624857479323043918e-01,2.294711695563793086e+01
7.637346876352706371e-01,2.295189911019097195e+01
7.660729940240482705e-01,2.296187347589509287e+01
7.662636509351229419e-01,2.296276156225083653e+01
7.684113004128256819e-01,2.297378109703006288e+01
7.692098868393573152e-01,2.297840616886372800e+01
7.707496068016033153e-01,2.298855286706032786e+01
7.714996430310347986e-01,2.299405077547663723e+01
7.730879131903809487e-01,2.300771335466977874e+01
7.732998149884514616e-01,2.300969538208952869e+01
7.747438189600750480e-01,2.302533998870243082e+01
7.754262195791583601e-01,2.303421121414009676e+01
7.759249530426958197e-01,2.304098459531532939e+01
7.769193587729356087e-01,2.305662920192823151e+01
7.777645259679361045e-01,2.307223313203296655e+01
7.777667212014487408e-01,2.307227380854113008e+01
7.785514861565432376e-01,2.308791841515402865e+01
7.792739790120888355e-01,2.310356302176693077e+01
7.799641394539933437e-01,2.311920762837982934e+01
7.801028323567135159e-01,2.312232839398354400e+01
7.806861768735195994e-01,2.313485223499272792e+01
7.814319037766283005e-01,2.315049684160562649e+01
7.822032384316889297e-01,2.316614144821852506e+01
7.824411387454910383e-01,2.317072795853840717e+01
7.830530989850135182e-01,2.318178605483142718e+01
7.839550911604996619e-01,2.319743066144432575e+01
7.847794451342686717e-01,2.321133870154517709e+01
7.848892836445012788e-01,2.321307526805722432e+01
7.859031759619159452e-01,2.322871987467012644e+01
7.869071628564170418e-01,2.324436448128302501e+01
7.871177515230461941e-01,2.324768050946384790e+01
7.879477126699678813e-01,2.326000908789592359e+01
7.889578024419745539e-01,2.327565369450882571e+01
7.894560579118237165e-01,2.328376303077910237e+01
7.899493930285927945e-01,2.329129830112172428e+01
7.909174665138203331e-01,2.330694290773462285e+01
7.917943643006012389e-01,2.332215851147774544e+01
7.918212294668770523e-01,2.332258751434752142e+01
7.927539085670756158e-01,2.333823212096042354e+01
7.936377415481575825e-01,2.335387672757332211e+01
7.941326706893788723e-01,2.336298922629381281e+01
7.945346595726288097e-01,2.336952133418622068e+01
7.954835018608579222e-01,2.338516594079911926e+01
7.964381667573748880e-01,2.340081054741202138e+01
7.964709770781563947e-01,2.340134471230445712e+01
7.975670065906548256e-01,2.341645515402491995e+01
7.987412328351193302e-01,2.343209976063781852e+01
7.988092834669339171e-01,2.343299330784349266e+01
