x,y
1.932851687917035122e+01,6.242878415555584981e-01
1.936517255418099026e+01,6.242270585844615916e-01
1.940182822919163286e+01,6.241824023547195566e-01
1.943848390420227190e+01,6.241524107085105744e-01
1.947513957921291450e+01,6.241364060310177209e-01
1.951179525422355709e+01,6.241347092572191446e-01
1.954845092923419614e+01,6.241488815268945167e-01
1.958510660424483873e+01,6.241820062976359829e-01
1.962176227925547778e+01,6.242390292441359900e-01
1.964977731289228302e+01,6.243054075412299841e-01
1.965841795426612038e+01,6.243267392066810251e-01
1.969507362927676297e+01,6.244531681250437005e-01
1.973172930428740202e+01,6.246322737288787508e-01
1.976838497929804817e+01,6.248805221283634248e-01
1.977842448116655305e+01,6.249677357032888958e-01
1.980504065430868366e+01,6.252114287321863806e-01
1.984024508144023713e+01,6.256300638653479185e-01
1.984169632931932625e+01,6.256481914760980700e-01
1.987835200432996885e+01,6.261992307491862642e-01
1.988356806635319884e+01,6.262923920274067191e-01
1.991500767934060434e+01,6.268757703287121119e-01
1.991872672167085767e+01,6.269547201894658528e-01
1.994918883833918954e+01,6.276170483515247644e-01
1.995166335435125049e+01,6.276719146953118056e-01
1.997662793646210844e+01,6.282793765135836761e-01
1.998831902936188953e+01,6.285697950241424525e-01
2.000223873012813414e+01,6.289417046756426988e-01
2.002497470437253213e+01,6.295607198389955306e-01
2.002647660021681730e+01,6.296040328377016104e-01
2.004938704257172688e+01,6.302663609997606331e-01
2.006163037938317473e+01,6.306294356040338389e-01
2.007128122194755804e+01,6.309286891618195448e-01
2.009208168077395129e+01,6.315910173238784564e-01
2.009828605439381377e+01,6.317943368769733947e-01
2.011178450682689345e+01,6.322533454859374791e-01
2.013035685902510252e+01,6.329156736479963907e-01
2.013494172940445637e+01,6.330853239329182758e-01
2.014786071041464766e+01,6.335780018100554134e-01
2.016431128512484250e+01,6.342403299721144361e-01
2.017159740441509541e+01,6.345463866063598690e-01
2.017990564556937372e+01,6.349026581341732367e-01
2.019483414692319201e+01,6.355649862962322594e-01
2.020825307942573801e+01,6.361819879320460558e-01
2.020923261213888367e+01,6.362273144582911710e-01
2.022374555727919443e+01,6.368896426203503047e-01
2.023834310288746963e+01,6.375519707824091054e-01
2.024490875443638060e+01,6.378379479895099902e-01
2.025371873441945780e+01,6.382142989444681280e-01
2.027025028764209580e+01,6.388766271065270397e-01
2.028156442944701965e+01,6.392964206994955489e-01
2.028839507863096614e+01,6.395389552685859513e-01
2.030901425820173500e+01,6.402012834306449740e-01
2.031822010445766225e+01,6.404679503666120821e-01
2.033287269165100497e+01,6.408636115927038857e-01
2.035487577946830129e+01,6.413948365306374466e-01
2.036081140406131240e+01,6.415259397547627973e-01
2.039153145447894389e+01,6.421313726348297779e-01
2.039474309295329491e+01,6.421882679168218200e-01
2.042818712948958648e+01,6.427201873519425845e-01
2.043744385666285979e+01,6.428505960788807316e-01
2.046484280450022908e+01,6.432014076086091103e-01
2.049256304461514233e+01,6.435129242409397543e-01
2.050149847951086812e+01,6.436056958620378632e-01
2.053815415452150717e+01,6.439408630358790520e-01
2.056726892840809384e+01,6.441752524029986660e-01
2.057480982953214976e+01,6.442327466628459121e-01
2.061146550454279236e+01,6.444829549746428077e-01
2.064812117955343496e+01,6.447106356995710996e-01
2.067019889275166022e+01,6.448375805650576886e-01
2.068477685456407400e+01,6.449199905146536516e-01
2.072143252957471660e+01,6.451174139053921230e-01
2.075808820458535564e+01,6.453119323410270169e-01
2.079320560125613326e+01,6.454999087271166003e-01
2.079474387959599824e+01,6.455083489849819944e-01
2.083139955460664083e+01,6.457118227158996637e-01
2.086805522961727988e+01,6.459275795037789925e-01
2.090471090462792247e+01,6.461596892207465137e-01
2.090509903929662627e+01,6.461622368891755119e-01
2.094136657963856152e+01,6.464195158069436786e-01
2.097802225464920411e+01,6.467071292656996206e-01
2.099199520492027915e+01,6.468245650512345346e-01
2.101467792965984671e+01,6.470382367864861983e-01
2.105133360467048931e+01,6.474188787074502960e-01
2.105748081978243746e+01,6.474868932132933352e-01
2.108798927968112480e+01,6.478800108128505153e-01
2.110714752244195580e+01,6.481492213753524689e-01
2.112464495469176740e+01,6.484445498179383094e-01
2.114499096494065000e+01,6.488115495374113806e-01
2.116130062970240999e+01,6.491766842629820289e-01
2.117397142666728627e+01,6.494738776994702922e-01
2.119609217079817398e+01,6.501362058615293149e-01
2.119795630471305259e+01,6.502071651512311146e-01
2.121328938881564596e+01,6.507985340235882266e-01
2.122626642798770291e+01,6.514608621856472492e-01
2.123461197972369163e+01,6.520273605802491268e-01
2.123604880272591799e+01,6.521231903477061609e-01
2.124372621071216471e+01,6.527855185097650725e-01
2.124954939071202631e+01,6.534478466718240952e-01
2.125405906218905017e+01,6.541101748338830069e-01
2.125771013341861959e+01,6.547725029959420295e-01
2.126088850397516694e+01,6.554348311580009412e-01
2.126392000703286911e+01,6.560971593200599639e-01
2.126707288948571062e+01,6.567594874821188755e-01
2.127055478196082205e+01,6.574218156441777872e-01
2.127126765473433423e+01,6.575439984104201052e-01
2.127482101486831212e+01,6.580841438062368098e-01
2.127977347866571733e+01,6.587464719682958325e-01
2.128531017981184448e+01,6.594088001303546331e-01
2.129126890666810823e+01,6.600711282924136558e-01
2.129734317117969056e+01,6.607334564544725675e-01
2.130307067564542223e+01,6.613957846165315901e-01
2.130783370410328814e+01,6.620581127785905018e-01
2.130792332974497327e+01,6.620784008683266997e-01
2.131117051587921196e+01,6.627204409406495245e-01
2.131167540954009354e+01,6.633827691027084361e-01
2.130838244611051024e+01,6.640450972647673478e-01
2.130792332974496972e+01,6.640842934984657608e-01
2.130101598178909583e+01,6.647074254268263704e-01
