x,y
9.563982064211270506e-01,3.298946323722570795e-02
9.586430127548625224e-01,3.286395772248343339e-02
9.608878190885981052e-01,3.276128379477107749e-02
9.631326254223335770e-01,3.268238288086681292e-02
9.653774317560690488e-01,3.262802161088131786e-02
9.676222380898045206e-01,3.259866926380877716e-02
9.698670444235401034e-01,3.259435269594537082e-02
9.721118507572755751e-01,3.261449970321155661e-02
9.743566570910111579e-01,3.265778880511288618e-02
9.766014634247466297e-01,3.272202960941490713e-02
9.788462697584821015e-01,3.280410083908598395e-02
9.810910760922175733e-01,3.289997039859760691e-02
9.833358824259530451e-01,3.300481228761583535e-02
9.851003664489688116e-01,3.308952617176794120e-02
9.855806887596885169e-01,3.311317765876274632e-02
9.878254950934239886e-01,3.321845765316321086e-02
9.900703014271596825e-01,3.331489425547663752e-02
9.923151077608951542e-01,3.339771393598627014e-02
9.945599140946306260e-01,3.346293101578121099e-02
9.968047204283660978e-01,3.350749057580161561e-02
9.990495267621015696e-01,3.352935144941093099e-02
9.990944103375237750e-01,3.495638512661872199e-02
9.991534394946192110e-01,3.682324408146950279e-02
9.992136088194815136e-01,3.869010303632028358e-02
9.992757353258140407e-01,4.055696199117106437e-02
9.993402352077218609e-01,4.242382094602187292e-02
9.994071165286001479e-01,4.429067990087265372e-02
9.994759963122658020e-01,4.615753885572343451e-02
9.995461537993175494e-01,4.802439781057421531e-02
9.996166227328988629e-01,4.989125676542499610e-02
9.996863130304192158e-01,5.175811572027577689e-02
9.997541420051792027e-01,5.362497467512655769e-02
9.998191521736810028e-01,5.549183362997734542e-02
9.998805974223308191e-01,5.735869258482811928e-02
9.999379888286346052e-01,5.922555153967890007e-02
9.999911012118559706e-01,6.109241049452970862e-02
1.000039948215716956e+00,6.295926944938048941e-02
1.000084736450899348e+00,6.482612840423127021e-02
1.000125808865437005e+00,6.669298735908205100e-02
1.000163585656412613e+00,6.855984631393283180e-02
1.000198508969627920e+00,7.042670526878361259e-02
1.000230995931810085e+00,7.229356422363439338e-02
1.000261403186000431e+00,7.416042317848517418e-02
