x,y
1.406316501612071557e+00,1.190753051203750745e+00
1.413818406372824299e+00,1.190134469711768617e+00
1.421320311133577041e+00,1.189622357438216316e+00
1.428822215894330228e+00,1.189216379149693914e+00
1.436324120655082970e+00,1.188916212526254235e+00
1.443826025415836156e+00,1.188721544036780653e+00
1.451327930176588898e+00,1.188632064920447595e+00
1.458829834937341641e+00,1.188647467311384043e+00
1.466331739698094605e+00,1.188767440545401843e+00
1.473833644458847569e+00,1.188991667688998222e+00
1.481335549219600312e+00,1.189319822331764698e+00
1.488837453980353276e+00,1.189751565683587753e+00
1.496339358741106240e+00,1.190286544017838732e+00
1.503841263501859205e+00,1.190924386500780363e+00
1.505082046498226855e+00,1.191046469495457227e+00
1.511343168262611947e+00,1.191666808282751955e+00
1.518845073023364911e+00,1.192512304753427843e+00
1.526346977784117875e+00,1.193460065221150668e+00
1.533848882544870618e+00,1.194509641323915572e+00
1.541350787305623360e+00,1.195660554082880855e+00
1.548852692066376546e+00,1.196912294811712130e+00
1.556354596827129289e+00,1.198264326656878431e+00
1.563856501587882253e+00,1.199716086779073931e+00
1.571358406348635217e+00,1.201266989178892741e+00
1.578860311109388181e+00,1.202916428162529305e+00
1.586362215870140924e+00,1.204663782435886343e+00
1.586595054510982816e+00,1.204720832688606302e+00
1.593864120630893888e+00,1.206521040781189047e+00
1.601366025391646852e+00,1.208476073662514416e+00
1.608867930152399595e+00,1.210527747199215520e+00
1.616369834913152559e+00,1.212675327081073728e+00
1.623871739673905523e+00,1.214918084726473779e+00
1.631373644434658265e+00,1.217255305070487514e+00
1.634897679235692625e+00,1.218395195881755599e+00
1.638875549195411230e+00,1.219698595646854233e+00
1.646377453956164194e+00,1.222246420323290783e+00
1.653879358716916936e+00,1.224887065419886234e+00
1.661381263477669901e+00,1.227619796708973698e+00
1.668883168238423087e+00,1.230443932236912286e+00
1.673072683598255228e+00,1.232069559074904674e+00
1.676385072999175829e+00,1.233373773097827808e+00
1.683886977759928794e+00,1.236412978855558453e+00
1.691388882520681758e+00,1.239541826096907329e+00
1.698890787281434500e+00,1.242759743286400376e+00
1.705663219213043647e+00,1.245743922268053971e+00
1.706392692042187464e+00,1.246070576022625831e+00
1.713894596802939985e+00,1.249509900902080028e+00
1.721396501563692949e+00,1.253036583023387163e+00
1.728898406324445913e+00,1.256650278364744855e+00
1.734513411740717936e+00,1.259418285461203046e+00
1.736400311085198878e+00,1.260364662562123206e+00
1.743902215845952064e+00,1.264206783425088076e+00
1.751404120606705028e+00,1.268134419254131728e+00
1.758906025367457993e+00,1.272147569942543743e+00
1.760638676119567814e+00,1.273092648654352343e+00
1.766407930128210291e+00,1.276296941008389751e+00
1.773909834888963255e+00,1.280545941029317181e+00
1.781411739649715997e+00,1.284879320307527717e+00
1.784620432762881403e+00,1.286767011847501418e+00
1.788913644410469184e+00,1.289341156832832791e+00
1.796415549171222370e+00,1.293919218490516165e+00
1.803917453931975334e+00,1.298580657718455100e+00
1.806861791748005874e+00,1.300441375040650493e+00
1.811419358692727632e+00,1.303378760985074880e+00
1.818921263453480819e+00,1.308293289243150692e+00
1.826423168214233561e+00,1.313290262545046438e+00
1.827643429617685999e+00,1.314115738233799791e+00
1.833925072974986525e+00,1.318451215432922430e+00
1.841426977735739712e+00,1.323708533191388703e+00
1.847163558377854287e+00,1.327790101426948866e+00
1.848928882496492454e+00,1.329072434399929392e+00
1.856430787257245418e+00,1.334597990201687789e+00
1.863932692017997939e+00,1.340202301297715337e+00
1.865599222715488947e+00,1.341464464620098163e+00
1.871434596778750903e+00,1.345976012882814654e+00
1.878936501539503867e+00,1.351851302887432826e+00
1.883080443748516020e+00,1.355138827813247238e+00
1.886438406300256831e+00,1.357858866749475979e+00
1.893940311061009574e+00,1.364008131704571358e+00
1.899733795888182808e+00,1.368813191006396535e+00
1.901442215821762760e+00,1.370259915741848911e+00
1.908944120582515280e+00,1.376682987931176161e+00
1.915653296848366605e+00,1.382487554199545610e+00
1.916446025343268245e+00,1.383187619951431246e+00
1.923947930104020987e+00,1.389880455327258790e+00
1.930925563319801697e+00,1.396161917392694685e+00
1.931449834864774173e+00,1.396643412724820177e+00
1.938951739625527138e+00,1.403597445161007817e+00
1.945630958912679898e+00,1.409836280585844204e+00
1.946453644386280102e+00,1.410619619750892451e+00
1.953955549147032844e+00,1.417821269705033416e+00
1.959844351367717508e+00,1.423510643778993057e+00
1.961457453907785586e+00,1.425097652854560248e+00
1.968959358668538329e+00,1.432528089933648996e+00
1.973635613025220614e+00,1.437185006972142354e+00
1.976461263429291515e+00,1.440046764571699667e+00
1.983963168190044701e+00,1.447682020927222091e+00
1.987069963209377121e+00,1.450859370165291429e+00
1.991465072950797444e+00,1.455423663431318682e+00
1.998966977711550408e+00,1.463235172234008452e+00
2.000208217002747979e+00,1.464533733358440504e+00
2.006468882472303150e+00,1.471173243180474710e+00
2.013098493016056256e+00,1.478208096551589801e+00
2.013970787233056114e+00,1.479145571180340069e+00
2.021472691993809079e+00,1.487230561794760986e+00
2.025788847291879691e+00,1.491882459744738876e+00
2.028974596754562043e+00,1.495353277669196457e+00
2.036476501515315007e+00,1.503524027596570223e+00
2.038340874319369167e+00,1.505556822937888395e+00
2.043978406276067972e+00,1.511758140279071849e+00
2.050792873670401306e+00,1.519231186131037248e+00
2.051480311036820936e+00,1.519990968638037954e+00
2.058982215797573456e+00,1.528285431999907296e+00
2.063174277301750958e+00,1.532905549324186545e+00
2.066484120558326421e+00,1.536575089090041146e+00
2.073986025319079385e+00,1.544865472477755519e+00
2.075538780933676719e+00,1.546579912517335620e+00
2.081487930079832349e+00,1.553176425262892568e+00
2.087906767855486123e+00,1.560254275710484695e+00
2.088989834840585313e+00,1.561452680137801030e+00
2.096491739601338278e+00,1.569740995787836768e+00
2.100299167153156787e+00,1.573928638903633992e+00
2.103993644362090798e+00,1.578000842399247095e+00
2.111495549122843762e+00,1.586229580327368938e+00
2.112749240185846311e+00,1.587603002096783067e+00
2.118997453883596727e+00,1.594455857462095949e+00
2.125256564636939238e+00,1.601277365289932586e+00
2.126499358644349691e+00,1.602633058811086419e+00
2.134001263405102655e+00,1.610803781409402280e+00
2.137826130976071326e+00,1.614951728483081439e+00
2.141503168165855620e+00,1.618941071192879111e+00
2.149005072926608584e+00,1.627046660904183817e+00
2.150467837267776350e+00,1.628626091676230736e+00
2.156506977687361104e+00,1.635148489465461541e+00
2.163163286565272792e+00,1.642300454869379811e+00
2.164008882448114068e+00,1.643209515082886263e+00
2.171510787208867477e+00,1.651278757395216346e+00
2.175890274768763621e+00,1.655974818062528886e+00
2.179012691969619997e+00,1.659325530433929163e+00
2.186514596730372961e+00,1.667365680192903099e+00
2.188643967411732838e+00,1.669649181255678183e+00
2.194016501491125926e+00,1.675417308705832387e+00
2.201399004008068871e+00,1.683323544448827258e+00
2.201518406251878446e+00,1.683451643193763170e+00
2.209020311012631410e+00,1.691528903122792471e+00
2.214105344048046042e+00,1.696997907641976555e+00
2.216522215773384374e+00,1.699603157030089351e+00
2.224024120534137339e+00,1.707706622650364769e+00
2.226762998856558262e+00,1.710672270835125630e+00
2.231526025294890303e+00,1.715843667431780961e+00
2.239027930055643267e+00,1.723995676029504764e+00
2.239349135704082894e+00,1.724346634028275149e+00
2.246529834816396232e+00,1.732216366203708668e+00
2.251817531137724870e+00,1.738020997221424002e+00
2.254031739577148752e+00,1.740459723865864561e+00
2.261533644337901716e+00,1.748757743051703395e+00
2.264177744719090946e+00,1.751695360414573077e+00
2.269035549098654680e+00,1.757109701136082336e+00
2.276425597863014350e+00,1.765369723607722374e+00
2.276537453859407645e+00,1.765495119034200755e+00
2.284039358620160609e+00,1.773960619338486477e+00
2.288528532790897962e+00,1.779044086800871227e+00
2.291541263380913573e+00,1.782463141789319305e+00
2.299043168141666094e+00,1.791015244024549258e+00
2.300528393744226907e+00,1.792718449994020746e+00
2.306545072902419058e+00,1.799625118630523879e+00
2.312419569548786136e+00,1.806392813187169821e+00
2.314046977663172022e+00,1.808267174600759031e+00
2.321548882423924987e+00,1.816953436188301740e+00
2.324225341191507255e+00,1.820067176380318896e+00
2.329050787184677951e+00,1.825668420415911264e+00
2.335983594578964873e+00,1.833741539573468193e+00
2.336552691945430915e+00,1.834401460988994259e+00
2.344054596706183879e+00,1.843148392780677547e+00
2.347702554318400470e+00,1.847415902766617268e+00
2.351556501466936400e+00,1.851893520163127249e+00
2.359058406227689364e+00,1.860632532960193819e+00
2.359449284028761529e+00,1.861090265959766343e+00
2.366560310988442328e+00,1.869336575175696735e+00
2.371232022474637713e+00,1.874764629152915862e+00
2.374062215749195293e+00,1.878012445059719537e+00
2.381564120509947813e+00,1.886643108542438663e+00
2.383119539992548219e+00,1.888438992346065159e+00
2.389066025270701221e+00,1.895199216276860721e+00
2.395141988138458800e+00,1.902113355539214457e+00
2.396567930031453741e+00,1.903706767480284556e+00
2.404069834792206706e+00,1.912114472503218421e+00
2.407341688929363066e+00,1.915787718732363309e+00
2.411571739552959670e+00,1.920437959873928291e+00
2.419073644313712634e+00,1.928691641826250081e+00
2.419771511117067675e+00,1.929462081925512384e+00
2.426575549074465599e+00,1.936798986669359124e+00
2.432450923978202617e+00,1.943136445118661904e+00
2.434077453835218563e+00,1.944846568403887810e+00
2.441579358595971527e+00,1.952755345188568858e+00
2.445420214421607952e+00,1.956810808311810534e+00
2.449081263356724047e+00,1.960572150959245974e+00
2.456583168117477456e+00,1.968293708095221861e+00
2.458705932998433319e+00,1.970485171504959832e+00
2.464085072878229976e+00,1.975881808085917957e+00
2.471586977638982940e+00,1.983420673034503645e+00
2.472319187224921055e+00,1.984159534698109129e+00
2.479088882399735905e+00,1.990793097637132192e+00
2.486257872539568314e+00,1.997833897891257982e+00
2.486590787160488869e+00,1.998151235825949446e+00
2.494092691921241389e+00,2.005338255323816821e+00
2.500510145586556376e+00,2.011508261084407501e+00
2.501594596681994354e+00,2.012520349951045340e+00
2.509096501442747318e+00,2.019560498623458322e+00
2.515057152371889870e+00,2.025182624277556798e+00
2.516598406203500282e+00,2.026594562670142263e+00
2.524100310964253246e+00,2.033510492496873212e+00
2.529862139811861255e+00,2.038856987470706095e+00
2.531602215725006211e+00,2.040426724738587883e+00
2.539104120485759175e+00,2.047243300460174886e+00
2.544877533184425999e+00,2.052531350663854504e+00
2.546606025246511695e+00,2.054072476527049051e+00
2.554107930007264660e+00,2.060815970511479911e+00
2.560047136596597550e+00,2.066205713857003801e+00
2.561609834768017624e+00,2.067588319681133324e+00
2.569111739528770588e+00,2.074285771778393794e+00
2.575309039036446812e+00,2.079880077050153098e+00
2.576613644289523553e+00,2.081030285093242949e+00
2.584115549050276517e+00,2.087709012366652406e+00
2.590598905522274897e+00,2.093554440243302395e+00
2.591617453811029037e+00,2.094453095242549967e+00
2.599119358571782001e+00,2.101140326029499406e+00
2.605853276723101963e+00,2.107228803436451692e+00
2.606621263332534966e+00,2.107909700230199856e+00
2.614123168093287930e+00,2.114632303499158539e+00
2.621012518372396460e+00,2.120903166629600989e+00
2.621625072854040894e+00,2.121451069959700675e+00
2.629126977614793859e+00,2.128235351818162702e+00
2.636023144680249786e+00,2.134577529822750286e+00
2.636628882375546823e+00,2.135126139829453429e+00
2.644130787136299787e+00,2.141997682251100432e+00
2.650839361762812096e+00,2.148251893015898695e+00
2.651632691897052307e+00,2.148981826850751897e+00
2.659134596657805272e+00,2.155965347791730213e+00
2.665423805415113367e+00,2.161926256209047992e+00
2.666636501418558236e+00,2.163063052825549892e+00
2.674138406179311200e+00,2.170182270968381566e+00
2.679747554459703363e+00,2.175600619402197289e+00
2.681640310940064165e+00,2.177412728690306221e+00
2.689142215700816685e+00,2.184690219539408673e+00
2.693789570095451502e+00,2.189274982595346586e+00
2.696644120461569649e+00,2.192071668231396320e+00
