SED t alpha1 alpha2 alpha1_e alpha2_e polyfitOn
7 38.0 -2.00061077701 0.162663845851 2.0015640143 0.357123367362 0
8 41.0 -0.388118034597 1.82472209591 0.323467994105 0.206932724155 0
14 104.0 -1.0361386356 1.15170260697 0.121647229597 0.106841883939 0
15 115.0 -2.37396118919 0.336822213908 0 0 0
18 160.0 -4.45329411977 0.229704885196 22335994.9329 0.268344565207 0
19 175.0 -19.8755668193 -0.294573177094 0 0 0
20 188.0 0.0 -0.748609405073 0.0 0.183057873197 1
21 209.0 0.0 -0.791098135862 0.0 0.092431680767 1
22 220.0 0.0 -0.868565425038 0.0 0.0533201452064 1
23 237.0 0.0 -0.887486423264 0.0 0.0731937893252 1
24 251.0 0.0 -0.900283612787 0.0 0.0390144594266 1
25 271.0 0.0 -0.857056504015 0.0 0.0540825249846 1
26 288.0 0.0 -0.861979246588 0.0 0.107066783018 1
27 313.0 0.0 -0.955732809452 0.0 0.0913433508205 1
28 354.0 0.0 -0.8537863789 0.0 0.0848758180036 1
29 379.0 0.0 -1.24638716592 0.0 0.0890583798091 1
30 427.0 0.0 -0.979997710802 0.0 0.0802481475795 1
31 468.0 0.0 -0.965356210818 0.0 0.0785427869467 1
32 533.0 0.0 -1.02312872156 0.0 0.0688987192758 1
33 608.0 0.0 -1.09447324346 0.0 0.0418285935489 1
