SED freq flux
0 0.04 14.6915939808
0 0.05 18.5240187051
0 0.06 22.3864671075
0 0.07 26.2740632945
0 0.08 30.1833184268
0 0.09 34.1116090065
0 0.1 38.0568885754
0 0.11 42.0175151079
0 0.12 45.9921412231
0 0.13 49.9796409598
0 0.14 53.9790590333
0 0.15 57.9895745431
0 0.16 62.0104743193
0 0.17 66.0411329017
0 0.18 70.0809972042
0 0.19 74.1295745689
0 0.2 78.1864233184
0 0.21 82.251145187
0 0.22 86.323379183
0 0.23 90.4027965598
0 0.24 94.4890966551
0 0.25 98.5820034185
0 0.26 102.681262491
0 0.27 106.786638728
0 0.28 110.897914094
0 0.29 115.014885841
0 0.3 119.137364956
0 0.31 123.265174792
0 0.32 127.398149896
0 0.33 131.536134963
0 0.34 135.678983931
0 0.35 139.826559168
0 0.36 143.978730766
0 0.37 148.135375898
0 0.38 152.296378254
0 0.39 156.461627534
0 0.4 160.631018987
0 0.41 164.804453003
0 0.42 168.981834741
0 0.43 173.163073793
0 0.44 177.348083875
0 0.45 181.536782553
0 0.46 185.729090989
0 0.47 189.924933708
0 0.48 194.124238386
0 0.49 198.326935656
0 0.5 202.53295893
0 0.51 206.742244233
0 0.52 210.95473005
0 0.53 215.17035719
0 0.54 219.389068653
0 0.55 223.610809508
0 0.56 227.835526787
0 0.57 232.063169377
0 0.58 236.293687922
0 0.59 240.52703474
0 0.6 244.763163731
0 0.61 249.002030305
0 0.62 253.243591305
0 0.63 257.487804941
0 0.64 261.734630723
0 0.65 265.984029404
0 0.66 270.23596292
0 0.67 274.49039434
0 0.68 278.747287814
0 0.69 283.006608525
0 0.7 287.268322649
0 0.71 291.532397307
0 0.72 295.798800531
0 0.73 300.067501221
0 0.74 304.338469117
0 0.75 308.611674758
0 0.76 312.887089455
0 0.77 317.164685259
0 0.78 321.444434934
0 0.79 325.726311928
0 0.8 330.010290349
0 0.81 334.296344941
0 0.82 338.584451057
0 0.83 342.874584642
0 0.84 347.166722209
0 0.85 351.46084082
0 0.86 355.756918064
0 0.87 360.054932044
0 0.88 364.354861356
0 0.89 368.656685073
0 0.9 372.960382729
0 0.91 377.265934305
0 0.92 381.573320212
0 0.93 385.88252128
0 0.94 390.193518743
0 0.95 394.506294227
0 0.96 398.820829737
0 0.97 403.137107645
0 0.98 407.455110682
0 0.99 411.774821921
0 1.0 416.096224774
0 1.01 420.419302976
0 1.02 424.744040579
0 1.03 429.070421942
0 1.04 433.39843172
0 1.05 437.72805486
0 1.06 442.059276589
0 1.07 446.392082407
0 1.08 450.72645808
0 1.09 455.062389633
0 1.1 459.399863343
0 1.11 463.738865731
0 1.12 468.079383555
0 1.13 472.421403807
0 1.14 476.764913704
0 1.15 481.109900684
0 1.16 485.456352396
0 1.17 489.804256702
0 1.18 494.153601665
0 1.19 498.504375546
0 1.2 502.856566803
0 1.21 507.210164078
0 1.22 511.5651562
0 1.23 515.921532177
0 1.24 520.279281193
