SED freq flux
7 8.0 23278.8299594
7 18.0 23041.1981184
7 28.0 10879.1979832
7 38.0 5914.8070427
7 48.0 3706.69766109
7 58.0 2538.43037919
7 68.0 1846.55158603
7 78.0 1403.31028512
7 88.0 1102.41618284
7 98.0 888.853577953
7 108.0 731.828119394
7 118.0 613.01217447
7 128.0 520.944668398
7 138.0 448.160329293
7 148.0 389.627494351
7 158.0 341.854663835
7 168.0 302.3575664
7 178.0 269.329585644
7 188.0 241.431465457
7 198.0 217.653392886
7 208.0 197.2223288
7 218.0 179.538383109
8 1.0 868.544568826
8 11.0 21457.1498005
8 21.0 16704.3799824
8 31.0 14360.9556131
8 41.0 12884.1926871
8 51.0 11837.7436602
8 61.0 11043.0491561
8 71.0 10411.2040945
8 81.0 9892.14007493
8 91.0 9455.14987153
8 101.0 9080.17962228
8 111.0 8753.48470793
8 121.0 8465.27649301
8 131.0 8208.36269696
8 141.0 7977.32000981
8 151.0 7767.96860767
8 161.0 7577.02622368
8 171.0 7401.87335996
8 181.0 7240.38968177
8 191.0 7090.8373673
8 201.0 6951.77624155
8 211.0 6822.0009198
14 1.0 8752.77770579
14 11.0 8053.90363353
14 21.0 4121.27112668
14 31.0 2752.80983917
14 41.0 2060.46868118
14 51.0 1643.44150202
14 61.0 1365.16285568
14 71.0 1166.4694873
15 1.0 12678.5394241
15 11.0 6204.67537258
15 21.0 1336.87429768
15 31.0 530.338418914
15 41.0 273.087352659
15 51.0 162.660665158
15 61.0 106.336933353
15 71.0 74.1604572303
18 1.0 20178.5601522
18 11.0 4149.86800833
18 21.0 233.041265037
18 31.0 41.1331508074
18 41.0 11.8430448464
18 51.0 4.48076342959
18 61.0 2.01867025296
18 71.0 1.02675380486
19 1.0 22594.6432383
19 11.0 11044.7119308
19 21.0 0.0535957832674
19 31.0 2.32985861402e-05
19 41.0 8.99487754241e-08
19 51.0 1.17506916697e-09
19 61.0 3.34615561522e-11
19 71.0 1.6374933869e-12
20 2.0 19931.6060088
20 12.0 5212.07851364
20 22.0 3310.89902033
20 32.0 2501.07520043
20 42.0 2040.40554082
20 52.0 1738.92134174
20 62.0 1524.38583117
20 72.0 1362.94899771
20 2.0 nan
20 12.0 nan
20 22.0 nan
20 32.0 nan
20 42.0 nan
20 52.0 nan
20 62.0 nan
20 72.0 nan
21 1.0 27700.7066888
21 11.0 4155.72725716
21 21.0 2491.64192309
21 31.0 1830.95382893
21 41.0 1467.64340087
21 51.0 1234.90988094
21 61.0 1071.81478699
21 71.0 950.525604583
21 1.0 nan
21 11.0 nan
21 21.0 nan
21 31.0 nan
21 41.0 nan
21 51.0 nan
21 61.0 nan
21 71.0 nan
22 1.0 27447.6055246
22 11.0 3419.69035295
22 21.0 1950.16114683
22 31.0 1390.46243363
22 41.0 1090.67703145
22 51.0 902.335507861
22 61.0 772.375868309
22 71.0 676.963836022
22 1.0 nan
22 11.0 nan
22 21.0 nan
22 31.0 nan
22 41.0 nan
22 51.0 nan
22 61.0 nan
22 71.0 nan
23 1.0 26189.3964265
23 11.0 3118.19750863
23 21.0 1756.60379601
23 31.0 1243.26078157
23 41.0 970.066960222
23 51.0 799.245392864
23 61.0 681.819628879
23 71.0 595.880041222
23 1.0 nan
23 11.0 nan
23 21.0 nan
23 31.0 nan
23 41.0 nan
23 51.0 nan
23 61.0 nan
23 71.0 nan
24 1.0 25773.8034418
24 11.0 2975.97818412
24 21.0 1662.67033622
24 31.0 1170.92753407
24 41.0 910.365173015
24 51.0 747.964636255
24 61.0 636.612729329
24 71.0 555.291413183
24 1.0 nan
24 11.0 nan
24 21.0 nan
24 31.0 nan
24 41.0 nan
24 51.0 nan
24 61.0 nan
24 71.0 nan
25 1.0 24555.7610759
25 11.0 3145.00271761
25 21.0 1806.91096276
25 31.0 1294.11287972
25 41.0 1018.37212942
25 51.0 844.635388685
25 61.0 724.477416601
25 71.0 636.092669562
25 1.0 nan
25 11.0 nan
25 21.0 nan
25 31.0 nan
25 41.0 nan
25 51.0 nan
25 61.0 nan
25 71.0 nan
26 1.0 23328.1579241
26 11.0 2952.71523268
26 21.0 1691.04379497
26 31.0 1208.80881247
26 41.0 949.935751494
26 51.0 787.028379323
26 61.0 674.470843751
26 71.0 591.744418201
26 1.0 nan
26 11.0 nan
26 21.0 nan
26 31.0 nan
26 41.0 nan
26 51.0 nan
26 61.0 nan
26 71.0 nan
27 1.0 21015.0964289
27 11.0 2124.40947827
27 21.0 1145.09897483
27 31.0 789.201833541
27 41.0 604.144659406
27 51.0 490.400094716
27 61.0 413.269246241
27 71.0 357.456373072
27 1.0 nan
27 11.0 nan
27 21.0 nan
27 31.0 nan
27 41.0 nan
27 51.0 nan
27 61.0 nan
27 71.0 nan
28 1.0 15501.8492657
28 11.0 2001.04391588
28 21.0 1152.10135098
28 31.0 826.188621471
28 41.0 650.744671525
28 51.0 540.111410393
28 61.0 463.546402212
28 71.0 407.196791841
28 1.0 nan
28 11.0 nan
28 21.0 nan
28 31.0 nan
28 41.0 nan
28 51.0 nan
28 61.0 nan
28 71.0 nan
29 1.0 17781.1252214
29 11.0 895.325106343
29 21.0 399.909831374
29 31.0 246.119013403
29 41.0 173.702528389
29 51.0 132.332247355
29 61.0 105.863694728
29 71.0 87.6142189628
29 1.0 nan
29 11.0 nan
29 21.0 nan
29 31.0 nan
29 41.0 nan
29 51.0 nan
29 61.0 nan
29 71.0 nan
30 1.0 13762.649283
30 11.0 1312.62174725
30 21.0 696.514498064
30 31.0 475.522418808
30 41.0 361.557650177
30 51.0 291.935681366
30 61.0 244.953072595
30 71.0 211.092643677
30 1.0 nan
30 11.0 nan
30 21.0 nan
30 31.0 nan
30 41.0 nan
30 51.0 nan
30 61.0 nan
30 71.0 nan
31 1.0 11826.4472249
31 11.0 1168.25971601
31 21.0 625.80883466
31 31.0 429.693737706
31 41.0 328.052525354
31 51.0 265.730144201
31 61.0 223.550195249
31 71.0 193.077004953
31 1.0 nan
31 11.0 nan
31 21.0 nan
31 31.0 nan
31 41.0 nan
31 51.0 nan
31 61.0 nan
31 71.0 nan
32 1.0 10880.0787626
32 11.0 935.735858964
32 21.0 482.871421487
32 31.0 324.173161209
32 41.0 243.526683225
32 51.0 194.790578797
32 61.0 162.184672297
32 71.0 138.853378651
32 1.0 nan
32 11.0 nan
32 21.0 nan
32 31.0 nan
32 41.0 nan
32 51.0 nan
32 61.0 nan
32 71.0 nan
33 1.0 9342.94275641
33 11.0 677.184888392
33 21.0 333.695267803
33 31.0 217.885443943
33 41.0 160.448222166
33 51.0 126.355403481
33 61.0 103.86947889
33 71.0 87.9692640232
33 1.0 nan
33 11.0 nan
33 21.0 nan
33 31.0 nan
33 41.0 nan
33 51.0 nan
33 61.0 nan
33 71.0 nan
