SED freq flux
0 121.02 51118.3537254
1 85.53 48144.4084785
2 59.22 45182.4443759
3 44.0 42922.2032013
4 38.65 41971.5537782
5 32.4 40713.1404186
6 22.9 38344.5461239
7 20.15 37506.8028772
8 17.9 36749.0229701
9 14.01 35225.5267784
10 11.34 33960.7178058
11 10.17 33326.2887941
12 7.15 31358.9265056
13 5.98 30406.8947175
14 4.21 28619.3895206
15 3.6 27856.8275159
16 3.09 27123.8187071
17 2.65 26423.1178195
18 2.15 25492.0037841
19 1.87 24885.6885454
20 1.68 24411.2315554
21 1.42 23726.8456751
22 1.31 23402.0535852
23 1.17 22938.9797116
24 1.07 22588.0628563
25 0.95 22127.6390736
26 0.86 21768.2978544
27 0.76 21287.4920432
28 0.63 20593.9492263
29 0.56 20219.7961257
30 0.47 19583.0456588
31 0.41 19103.3040051
32 0.33 18450.6768468
33 0.27 17810.2997892
34 0.22 17104.9201418
