Name,Date,Frequency,Flux Density,Uncertainty,Upper Limit,Source Paper,Instrument,"EMERLIN, VLBA, EVN make note",Explosion Date,Date Source,Distance (Mpc),Distance Uncertainty,Distance Source
1993J,49076,15,600,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,"Mar 30, 1993",THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,Mean,,NED
1993J,49077,1.5,180,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,3.674,,NED
1993J,49077,8.33,90,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,Std. Dev,,NED
1993J,49078,15,2400,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,0.478,,NED
1993J,49079,8.33,120,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,"March 28, 1993","Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",Min.,,NED
1993J,49079,15,300,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,1.4,,NED
1993J,49079,15,348,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,Max.,,NED
1993J,49079,25,740,195,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,2449075,average,5,,NED
1993J,49080,15,600,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,Median,,NED
1993J,49081,15,1100,110,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,3.63,,NED
1993J,49082,15,3800,380,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49083,15,5000,500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,2.9,,SNE
1993J,49084,15,5800,580,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49084,15,6400,640,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49084,15,6900,690,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49085,8.33,750,63,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49085,15,8040,629,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49085,15,7900,790,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49085,15,8000,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49085,25,18940,1905,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49086,15,10569,828,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49086,15,8700,870,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49086,15,11100,1110,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49086,25,22487,2261,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49086,87,11000,3000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49087,8.33,1330,97,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49087,15,11100,111,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49087,15,11586,934,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49087,25,25753,2576,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49087,25,25550,2578,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49088,1.5,180,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49088,8.33,1890,107,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49088,15,14610,1122,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49088,15,12400,1240,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49088,25,28640,2875,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49088,87,11000,3000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49088,99.4,18000,4000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49089,15,16000,1600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49089,87,13500,3400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49090,5,327,80,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49090,8.33,2980,169,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49090,8.33,3140,172,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49090,15,17680,1428,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49090,15,16400,1640,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49090,25,33200,3491,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49090,25,31600,5336,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49091,5,280,52,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49091,8.33,3590,189,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49091,15,20140,1525,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49091,15,19400,1940,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49091,25,35250,3540,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49091,99.4,17000,4000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49092,87,12500,3200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49093,8.33,360,63,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49093,15,24100,2410,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49093,110,10000,2800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49093,25,39860,4078,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49094,15,26000,2600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49095,15,29300,2930,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49096,5,870,66,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,5,880,74,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,8.33,7860,396,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,8.33,8990,453,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,15,31440,2372,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,15,34910,2638,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49096,15,31600,3160,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49096,25,39140,3933,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49097,15,35800,3580,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49098,5,1290,95,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49098,8.33,9710,491,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49098,15,34770,2631,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49098,86.2,14300,3500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",IRAM,,,,,,
1993J,49098,15,36100,3610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49098,25,38420,3892,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49099,5,1700,110,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49099,8.33,11770,592,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49099,15,37350,2822,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49099,25,39940,4029,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49100,1.5,330,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49100,5,1930,113,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49100,8.33,14610,735,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49100,15,37920,2865,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49100,15,39700,3970,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49100,25,40020,4150,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49101,5,2050,130,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49101,8.33,15170,763,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49101,15,42200,4220,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49101,25,48810,5062,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49102,5,2640,149,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49102,8.33,16710,839,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49102,15,46000,4600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49102,25,45450,4626,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49103,5,3260,182,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
