q,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
0.024992,0.001567,-0.00032956,-0.0031694,-0.016805,-0.030054,-0.040619,-0.038074,-0.062513,-0.070524,-0.075299,-0.088701,-0.096977,-0.1085,-0.11618,-0.12219,-0.12324,-0.12568,-0.13211,-0.12783,-0.11432,-0.092001,-0.081806,-0.064724,-0.04315,-0.026123,-0.017026,-0.0082369,-0.0039837
0.028324,0.001767,-0.0021812,-0.0020616,-0.0095798,-0.017124,-0.028484,-0.033011,-0.049375,-0.060184,-0.065135,-0.07418,-0.083483,-0.093932,-0.096379,-0.1018,-0.10581,-0.10519,-0.11414,-0.11026,-0.10047,-0.081927,-0.073702,-0.057866,-0.037375,-0.020713,-0.01423,-0.010132,-0.0066483
0.031656,-0.00056445,-0.0012539,-0.0059388,-0.015236,-0.023031,-0.023366,-0.027844,-0.043631,-0.051724,-0.054655,-0.066383,-0.072388,-0.081095,-0.083189,-0.089544,-0.090716,-0.094389,-0.1012,-0.096322,-0.083412,-0.072219,-0.060895,-0.050959,-0.033963,-0.020698,-0.013332,-0.0065026,-0.0035138
0.034987,-0.0054618,-0.0029558,-0.0058653,-0.01165,-0.016995,-0.018388,-0.024379,-0.032615,-0.042332,-0.04456,-0.053448,-0.059311,-0.068053,-0.069524,-0.074432,-0.078938,-0.080328,-0.083222,-0.078216,-0.071425,-0.060911,-0.052609,-0.043371,-0.030735,-0.013815,-0.0081699,-0.0010754,-0.0012814
0.038319,-0.0042047,-0.0024496,-0.0033515,-0.0070992,-0.011721,-0.013656,-0.018454,-0.026816,-0.033679,-0.037059,-0.043944,-0.049369,-0.052718,-0.05688,-0.062921,-0.062401,-0.067087,-0.070311,-0.065646,-0.061245,-0.053216,-0.044074,-0.038018,-0.024038,-0.010536,-0.0096856,-0.0024208,0.001705
0.041651,-0.00044709,-0.00048542,0.00035729,-0.010867,-0.011051,-0.011398,-0.014136,-0.020201,-0.026792,-0.029352,-0.03695,-0.038644,-0.043426,-0.044209,-0.048329,-0.052928,-0.056408,-0.057696,-0.052063,-0.05164,-0.042762,-0.036042,-0.03085,-0.020053,-0.010718,-0.0060814,0.00059522,0.0044799
0.044983,4.25E-05,5.56E-07,-0.0012945,-0.0051571,-0.0082662,-0.0067689,-0.011016,-0.01511,-0.01996,-0.023614,-0.028513,-0.031851,-0.036144,-0.036517,-0.038832,-0.042945,-0.045331,-0.044652,-0.043118,-0.042067,-0.035541,-0.030806,-0.025795,-0.017729,-0.0066469,-0.003952,0.0021039,0.0063828
0.048315,-0.0018959,-0.001274,-0.0020095,-0.0069225,-0.005484,-0.0054358,-0.0064968,-0.011165,-0.015627,-0.017226,-0.021792,-0.024959,-0.030069,-0.029295,-0.032822,-0.03307,-0.034621,-0.035977,-0.035323,-0.034543,-0.027281,-0.02395,-0.021893,-0.013135,-0.0059164,-0.0038195,0.0045095,0.0078654
0.051647,0.0011287,-0.00012729,-0.00057748,-0.0014224,0.00029122,0.00030184,-0.0038665,-0.010063,-0.013754,-0.014516,-0.019261,-0.020373,-0.022296,-0.023846,-0.026355,-0.025691,-0.026921,-0.030633,-0.028292,-0.026556,-0.022436,-0.016938,-0.016095,-0.010053,-0.005714,-0.0016313,0.0046678,0.0067694
0.054979,0.00014459,0.0011774,-0.00029036,0.001418,0.0034653,-0.00052804,-0.0015074,-0.0066471,-0.0081279,-0.010109,-0.013329,-0.012294,-0.018873,-0.017393,-0.017963,-0.019791,-0.020531,-0.023806,-0.023337,-0.021918,-0.017189,-0.014607,-0.01291,-0.0077728,-0.0018656,-0.0001736,-0.00050604,0.0048546
0.058311,0.0013554,0.002589,0.0017293,0.0024703,0.0012652,0.0016706,-0.00027559,-0.0036913,-0.0053388,-0.0077441,-0.0084409,-0.010513,-0.014182,-0.012889,-0.014565,-0.017686,-0.017809,-0.01594,-0.018087,-0.016275,-0.014804,-0.012802,-0.010491,-0.0071122,0.00030063,0.0023038,0.0039511,0.0089204
0.061643,0.00080198,0.0015022,0.0015414,0.00029228,-0.0012347,-0.00044408,0.0020572,-0.0012434,-0.0051281,-0.0059343,-0.0062446,-0.0077233,-0.0089292,-0.010041,-0.01307,-0.011377,-0.013891,-0.014862,-0.01557,-0.014175,-0.011685,-0.009824,-0.0074482,-0.0046747,-0.00016074,0.0019097,0.0065852,0.0096744
0.064975,0.00033814,0.00025268,-0.00017859,0.00094671,-0.00013289,0.001027,0.001212,-0.0014455,-0.0027777,-0.0039139,-0.0049558,-0.0056621,-0.00734,-0.0086164,-0.0090265,-0.0087376,-0.008783,-0.011514,-0.012683,-0.01231,-0.0098114,-0.0078005,-0.0055554,-0.0026115,-0.00070997,0.002171,0.0046299,0.0086573
0.068307,0.00034604,0.00017618,-0.00031814,0.0023736,0.0024378,0.00030057,-0.00073891,0.0013788,-0.0013637,-0.0020202,-0.0031862,-0.0032337,-0.0067805,-0.0066706,-0.0062509,-0.0092472,-0.0066477,-0.0098186,-0.0082934,-0.0096683,-0.0085032,-0.0061787,-0.004028,-0.0023246,7.33E-05,0.0022093,0.0078689,0.011692
0.071639,0.00032948,0.0029112,0.002152,0.004005,0.00056595,-0.00056646,0.0024009,0.00072503,0.00052614,-0.0015281,-0.0031431,-0.0023624,-0.0036725,-0.0055444,-0.0074682,-0.0057368,-0.0044943,-0.0078298,-0.0074022,-0.0073743,-0.0076863,-0.0059139,-0.0041934,-0.0015653,-0.00093807,0.001923,0.0078411,0.010466
0.074971,0.0015596,0.0014091,0.0021129,0.002415,0.0030368,0.001087,0.0040119,0.0020328,0.00094736,0.0012971,-0.0032793,-0.0011696,-0.0034926,-0.0015582,-0.0036699,-0.0044993,-0.0031347,-0.0062485,-0.0037857,-0.0052077,-0.003931,-0.0037584,-0.0031938,-0.0014533,0.00015915,0.0032483,0.012394,0.012702
