,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label,random
1613,YCuPb,0.996,0,LiGaGe (P63mc),18,Common non-HH Prototype,0.51
577,LaNdFe,0.996,0.247532498,phase_separating,17,Phase Separating,0.27
689,AgBiTe,0.996,0.234142202,phase_separating,22,Phase Separating,-1
392,CaCdSn,0.995,0.08985685,MoNiP (P-62m),24,Common non-HH Prototype,-0.59
1663,ErAsTe,0.995,0.553694477,MgSrSi (Pnma),25,Common non-HH Prototype,-0.58
1728,VNiAs,0.993,0.209345122,MgSrSi (Pnma),20,Common non-HH Prototype,0.83
71,NiCuSi,0.993,0.189172369,phase_separating,25,Phase Separating,-0.64
37,ZrOsAl,0.993,0.376106972,[MgZn2],15,Other non-HH Prototype,-0.1
1905,CePtGa,0.992,0.255731872,MgSrSi (Pnma),16,Common non-HH Prototype,-0.53
1354,TbPtAl,0.992,0.292289039,MgSrSi (Pnma),24,Common non-HH Prototype,-0.98
1863,PrPdBi,0.989,0,Half Heusler (F-43m),26,Half Heusler,0.67
4,TiNiGa,0.988,0.168879319,[InMg2],17,Other non-HH Prototype,0.02
390,CaPdBi,0.987,0.037285755,[HoNiGa],29,Other non-HH Prototype,0.17
338,BaPtSb,0.987,0.419110063,[LiBaSi],23,Other non-HH Prototype,-0.79
201,NbGaAs,0.986,0.742092573,phase_separating,13,Phase Separating,-0.31
1636,YCuSn,0.985,0.00688565,AsHgK (P63/mmc),18,Common non-HH Prototype,0.58
1477,NdRhBi,0.984,0.035995016,MgSrSi (Pnma),20,Common non-HH Prototype,0.46
1466,EuHgSn,0.984,0.050384297,LiGaGe (P63mc),25,Common non-HH Prototype,-0.27
770,CrMoW,0.982,0.785415937,phase_separating,18,Phase Separating,0.34
1453,TiFeAs,0.981,0.153590368,MoNiP (P-62m),17,Common non-HH Prototype,-0.66
1769,RhAsTe,0.979,0.228278258,[FeS2],20,Other non-HH Prototype,-0.87
1172,ZrPtSi,0.979,0.149024192,MgSrSi (Pnma),18,Common non-HH Prototype,0.43
573,LaCdIn,0.979,0.104648268,[CaIn2],18,Other non-HH Prototype,-0.4
1035,UFeSi,0.979,0.307090562,MgSrSi (Pnma),15,Common non-HH Prototype,0.29
1625,GdNiIn,0.979,0.157521714,MoNiP (P-62m),16,Common non-HH Prototype,-0.26
1060,NdZnTl,0.978,0.060532152,AsHgK (P63/mmc),21,Common non-HH Prototype,0.86
182,PrPtAl,0.977,0.313714678,MgSrSi (Pnma),18,Common non-HH Prototype,0.92
432,YIrSi,0.977,0.524262255,MgSrSi (Pnma),16,Common non-HH Prototype,-0.8
1494,TiNiSb,0.976,0.046480015,Half Heusler (F-43m),19,Half Heusler,0.46
1653,TaCoSn,0.976,0,Half Heusler (F-43m),18,Half Heusler,0.56
1362,CaAuSb,0.97,0,LiGaGe (P63mc),24,Common non-HH Prototype,0.13
905,YbGaTe,0.968,0.601133071,phase_separating,25,Phase Separating,0.75
1610,KMgSb,0.962,0.291342673,[PbClF],20,Other non-HH Prototype,0.88
1145,CaMgGe,0.962,0.079905052,MgSrSi (Pnma),20,Common non-HH Prototype,-0.91
353,LuPtGe,0.962,0.155283238,MgSrSi (Pnma),17,Common non-HH Prototype,0.24
1923,HoAgGe,0.96,0.15506454,MoNiP (P-62m),28,Common non-HH Prototype,-0.52
1085,GdMgGa,0.956,0.137587618,MoNiP (P-62m),14,Common non-HH Prototype,0.75
1763,CeCuCd,0.956,0.130727483,MoNiP (P-62m),26,Common non-HH Prototype,0.72
1445,UPtIn,0.953,0.164480113,MoNiP (P-62m),16,Common non-HH Prototype,-0.9
789,NaAlGe,0.95,0.155328768,[PbClF],14,Other non-HH Prototype,0.74
115,CeOsIr,0.949,1.001564394,[Laves(cub)#MgCu2],20,Other non-HH Prototype,0.44
291,SmIrSb,0.948,0.123960917,MgSrSi (Pnma),22,Common non-HH Prototype,0.26
1828,TlSnTe,0.947,0.284297848,phase_separating,13,Phase Separating,0.22
128,LaPdPb,0.945,0.083639599,MoNiP (P-62m),23,Common non-HH Prototype,0.48
1918,TiReB,0.943,0.515749666,phase_separating,14,Phase Separating,-0.26
1696,LuCoB,0.942,0.562196934,phase_separating,15,Phase Separating,-0.12
1539,ZrVNi,0.941,0.557682067,[MgZn2],19,Other non-HH Prototype,-0.74
557,SrPtSi,0.937,0.741268668,[ZrSO],22,Other non-HH Prototype,-0.94
237,TmFeAl,0.937,0.406035897,[MgZn2],26,Other non-HH Prototype,-0.27
495,CeRhIn,0.935,0.168173698,MoNiP (P-62m),15,Common non-HH Prototype,-0.94
1541,NdPtBi,0.935,0,Half Heusler (F-43m),21,Half Heusler,0.94
