,id,struct_filepath,formula,anon_formula,anions,heteroanion,sg_sym,sg_num,n_elems,mm_dist,tm1,tm2,idx1,idx2,oxi1,oxi2,ref_dist,delta,normed_dist,d_state1,d_state2,n1,n2,ionic_r_1,ionic_r_2,mn1,mn2,max_con,ce1,ce2,cn1,cn2,csm1,csm2,gii,gii_1991,pred_d1
0,1,Cr2Te4O11_1.cif,Cr2Te4O11,A2B4C11,"O,Te",True,P2_1/c,14.0,3,3.0966107894370225,Cr,Cr,2,0,3.0,3.0,2.46784594,0.6287648494370224,1.2547828611363894,5,5,3,3,0.755,0.755,57,57,0.0,O:6,O:6,6.0,6.0,0.8017639356727807,0.8017639356727807,0.25103944475670104,0.4314374216579381,2
1,100001,KCu3S2_100001.cif,KCu3S2,AB2C3,S,False,C2/m,12.0,3,2.6279465450598813,Cu,Cu,10,9,1.0,1.0,2.5606193692015,0.06732717585838133,1.0262933166358796,10,10,3,3,0.91,0.91,72,72,1.449299532027876,T:4,T:4,4.0,4.0,1.436946089162889,1.436946089162889,0.12161815363622724,,9
2,100015,YBO3_100015.cif,YBO3,ABC3,O,False,Pm,6.0,3,3.7781801615769104,Y,Y,2,0,3.0,3.0,3.533909661494832,0.24427050008207815,1.0691218858092577,1,1,4,4,1.04,1.04,25,25,0.0,C:8,C:8,8.0,8.0,1.7231068293231595,1.7231068293231595,0.2234078967005613,0.2385958178643476,-2
3,100028,Ba2CuF6_100028.cif,Ba2CuF6,AB2C6,F,False,Cmce,64.0,3,4.146981462461581,Cu,Cu,9,8,2.0,2.0,2.5606193692015,1.5863620932600813,1.619522804654395,10,10,3,3,0.87,0.87,72,72,0.0,O:6,O:6,6.0,6.0,0.8452034184642475,0.8452034184642475,0.18190034064398405,,8
4,10004,Na3(CuS)4_10004.cif,Na3(CuS)4,A3B4C4,S,False,Pbam,55.0,3,2.621158440430375,Cu,Cu,11,8,0.0,0.0,2.5606193692015,0.06053907122887514,1.023642354641625,10,10,3,3,,,72,72,1.1323741451924043,PBP:12,PBP:12,12.0,12.0,5.777568864534,5.777568864534,0.0,0.0,10
5,100053,V4Cu3S8_100053.cif,V4Cu3S8,A3B4C8,S,False,Cm,8.0,3,2.776968334086578,Cu,V,8,2,0.0,0.0,2.5764529596007497,0.20051537448582835,1.0778261344685682,10,3,3,3,,,72,54,0.514316383179978,T:4,T:4,4.0,4.0,2.4693262806849945,2.4693262806849945,0.0,0.0,10
6,100062,Ca(ZnP)2_100062.cif,Ca(ZnP)2,AB2C2,P,False,P-3m1,164.0,3,2.9465645147059245,Zn,Zn,2,1,2.0,2.0,2.6267307799999995,0.31983373470592497,1.1217611401751364,10,10,3,3,0.88,0.88,76,76,0.932465123585022,T:4,T:4,4.0,4.0,0.023659101683976176,0.023659101683976176,0.24502603125695074,,8
7,100063,Ca(CdP)2_100063.cif,Ca(CdP)2,AB2C2,P,False,P-3m1,164.0,3,3.1310604227708816,Cd,Cd,2,1,2.0,2.0,3.00784593,0.1232144927708818,1.0409643630818823,10,10,4,4,1.09,1.09,75,75,1.0144867128864608,T:4,T:4,4.0,4.0,0.05068940240186052,0.05068940240186052,0.3037571634078777,,8
8,100079,Ag8GeS6_100079.cif,Ag8GeS6,AB6C8,S,False,Pna2_1,33.0,3,2.9301834073213,Ag,Ag,31,11,1.0,1.0,2.9418521827836077,-0.011668775462308822,0.996033527608696,10,10,4,4,1.29,1.29,71,71,1.2154295547978755,L:2,L:2,2.0,2.0,0.20500654004798144,0.20500654004798144,0.08488246379744642,,9
9,100080,Cd2Ge7O16_100080.cif,Cd2Ge7O16,A2B7C16,O,False,P-4b2,117.0,3,4.63,Cd,Cd,0,0,2.0,2.0,3.00784593,1.62215407,1.5393075668606468,10,10,4,4,1.09,1.09,75,75,0.0,SA:8,SA:8,8.0,8.0,1.9610955713673528,1.9610955713673528,0.5046855965881712,0.5046855965881712,8
