Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Good,Good,Unhealthy for Sensitive Groups,Good,Moderate,Good,Good,Good,null,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,Good,Moderate
Good,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,null,Good,null
Good,Moderate,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,Moderate
Good,Moderate,Moderate,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Moderate,Moderate,Good,Moderate,Moderate,Good,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,Good,Moderate,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,Moderate,Moderate,Good,Moderate,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,null,Good,null
Good,Good,Moderate,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Moderate,Moderate,Good,Moderate,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,Moderate,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,null
Good,Moderate,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good
Good,Moderate,Moderate,null,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,Good,null,Good,null
Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,null,Good,null
Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Moderate,null,Good,Good,Good,Good,null
Good,Good,Moderate,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,null,Moderate,null
Good,Good,Moderate,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Moderate,Good,Good,Good,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,Moderate,Moderate,null,Good,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null
Good,Good,Moderate,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Good,Moderate,Good,Moderate,Moderate,Good,null,null,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,null
