DayofYear,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1.0,36.54545454545455,27.5,113.2,37.42857142857143,67.0909090909091,22.833333333333332,14.5,35.0,-1.0,56.0,32.4,32.75,24.176470588235293,23.46153846153846,25.90909090909091,25.636363636363637,24.0,16.416666666666668,73.29411764705883,12.0,16.2,30.0,26.833333333333332,27.470588235294116,48.714285714285715,16.285714285714285,19.3,14.571428571428571,75.33333333333333,0.0,31.0,23.875,30.0,20.375,-1.0,22.61904761904762,18.666666666666668,18.857142857142858,33.083333333333336,34.285714285714285,12.5,29.0,13.333333333333334,17.75,53.416666666666664,46.8,-1.0,8.0,12.181818181818182,16.875,23.555555555555557,34.285714285714285,62.0
2.0,29.0,33.25,42.0,47.333333333333336,56.60526315789474,47.0,37.0,45.0,-1.0,44.81818181818182,36.53333333333333,9.333333333333334,28.1875,34.214285714285715,29.714285714285715,28.5,32.2,21.8,35.2,27.0,34.666666666666664,39.0,29.77777777777778,27.3125,29.5,30.625,17.166666666666668,17.5,34.5,8.0,48.81818181818182,60.0,43.357142857142854,36.888888888888886,37.666666666666664,20.333333333333332,31.8,32.05,52.611111111111114,10.0,26.0,32.375,20.0,18.785714285714285,29.61904761904762,53.5,40.0,-1.0,33.0,16.6,-1.0,27.833333333333332,-1.0
3.0,19.0,78.75,59.333333333333336,33.666666666666664,66.51219512195122,42.5,49.4,37.5,30.0,37.48,30.625,14.333333333333334,29.266666666666666,41.857142857142854,44.8125,36.2,-1.0,21.333333333333332,19.0,39.75,26.833333333333332,51.55555555555556,36.5,23.428571428571427,17.5,37.0,33.75,21.5,45.333333333333336,35.25,53.6,61.0,52.0,32.470588235294116,-1.0,29.8125,22.142857142857142,39.95,52.64,7.0,38.666666666666664,29.714285714285715,19.2,13.214285714285714,21.76923076923077,51.0,43.333333333333336,-1.0,34.0,21.423076923076923,25.0,35.07692307692308,60.0
4.0,21.5,59.333333333333336,64.25,19.8,59.68181818181818,15.6,51.75,34.333333333333336,32.0,28.0,17.5,14.333333333333334,23.6875,37.4,40.55555555555556,27.46153846153846,8.0,29.857142857142858,25.2,55.75,26.875,47.3,17.545454545454547,25.125,26.666666666666668,17.77777777777778,17.083333333333332,7.166666666666667,42.0,36.0,44.45454545454545,17.857142857142858,43.214285714285715,9.714285714285714,-1.0,33.24,11.6,23.761904761904763,38.25,20.333333333333332,33.333333333333336,12.2,26.333333333333332,22.428571428571427,27.333333333333332,43.2,31.0,17.0,16.933333333333334,17.208333333333332,16.0,24.25,32.0
5.0,28.142857142857142,72.66666666666667,76.0,48.0,55.61290322580645,51.0,9.5,-1.0,-1.0,32.25,24.5,21.333333333333332,23.058823529411764,28.46153846153846,29.166666666666668,18.666666666666668,-1.0,25.4,37.5,8.5,11.0,34.0,22.285714285714285,21.4,22.0,16.833333333333332,22.142857142857142,8.0,54.5,0.0,18.0,50.5,25.363636363636363,10.857142857142858,-1.0,18.875,16.25,27.35,20.2,14.0,13.0,16.4,8.75,15.0,30.625,53.6,-1.0,-1.0,16.666666666666668,18.04,-1.0,30.545454545454547,-1.0
6.0,40.0,54.0,65.0,43.0,50.44827586206897,27.666666666666668,30.5,-1.0,-1.0,44.27272727272727,35.8,25.0,22.2,24.727272727272727,30.6,23.22222222222222,44.0,22.428571428571427,-1.0,25.5,21.333333333333332,37.6,16.0,11.23076923076923,22.833333333333332,21.6,19.142857142857142,14.5,51.333333333333336,17.0,33.142857142857146,33.0,34.666666666666664,20.53846153846154,-1.0,23.41176470588235,15.25,25.5,32.416666666666664,9.0,29.666666666666668,25.0,13.333333333333334,16.153846153846153,30.875,54.0,36.0,-1.0,17.5,15.76,-1.0,16.6,-1.0
7.0,28.416666666666668,37.833333333333336,65.0,23.2,54.93939393939394,15.0,32.666666666666664,42.0,-1.0,44.888888888888886,28.285714285714285,34.666666666666664,26.11764705882353,30.615384615384617,35.75,21.25,28.0,24.125,26.25,42.25,23.2,37.0,22.75,14.0,26.0,14.857142857142858,21.90909090909091,8.8,46.0,1.0,34.666666666666664,12.666666666666666,38.785714285714285,26.736842105263158,-1.0,31.166666666666668,19.5,28.714285714285715,37.68181818181818,-1.0,18.0,38.5,11.5,14.23076923076923,23.75,33.25,6.0,8.0,28.8,15.458333333333334,31.333333333333332,18.363636363636363,22.5
8.0,38.666666666666664,75.5,64.0,49.0,50.878787878787875,47.0,32.75,-1.0,-1.0,45.22222222222222,28.23076923076923,32.0,24.466666666666665,21.2,23.333333333333332,16.2,-1.0,21.833333333333332,47.333333333333336,29.5,23.0,40.75,15.625,16.142857142857142,32.42857142857143,19.5,23.833333333333332,14.5,27.0,2.0,37.333333333333336,64.0,36.733333333333334,15.076923076923077,-1.0,20.105263157894736,28.5,23.1,35.083333333333336,-1.0,32.0,26.5,17.25,17.75,40.25,63.5,-1.0,-1.0,17.333333333333332,14.318181818181818,-1.0,15.0,-1.0
9.0,48.0,74.0,40.0,45.0,41.5,42.0,19.0,-1.0,-1.0,44.77777777777778,46.3125,30.333333333333332,24.285714285714285,31.384615384615383,35.166666666666664,33.125,45.0,27.0,32.0,16.666666666666668,20.0,36.5,21.375,33.411764705882355,51.142857142857146,21.2,30.2,27.0,27.0,13.0,-1.0,42.0,30.642857142857142,26.823529411764707,31.0,22.470588235294116,31.625,28.318181818181817,33.214285714285715,26.0,21.666666666666668,34.857142857142854,29.25,26.571428571428573,34.27272727272727,51.0,34.0,-1.0,27.333333333333332,24.75,26.0,32.8,-1.0
10.0,36.0,52.833333333333336,37.0,30.75,44.09090909090909,14.4,36.5,-1.0,-1.0,43.15,35.36363636363637,21.333333333333332,21.375,47.4,35.05882352941177,48.38461538461539,32.333333333333336,28.0,33.23076923076923,37.25,20.5,39.2,35.93333333333333,27.9375,43.57142857142857,28.2,27.916666666666668,28.5,32.0,29.0,38.75,9.0,38.0625,28.2,36.0,29.96,30.727272727272727,24.9,48.85,28.0,30.333333333333332,32.42857142857143,28.4,29.0,37.59090909090909,2.0,29.666666666666668,30.5,31.153846153846153,22.555555555555557,23.25,57.5,24.5
