,Region,Source,RA,Dec,dist,Disk,starmass,logMacc_PPVII,mmflux,submmflux,DiskMass,acc
0,Lupus,Sz65,15:39:27.753,-34:46:17.577,153.47,II,0.61,-9.48,0.12,0.3,2119.0,3.3113112148259076e-10
1,Lupus,Sz66,15:39:28.264,-34:46:18.450,155.92,II,0.29100000000000004,-8.508,0.13,0.27,469.00000000000006,3.104559588128362e-09
2,Lupus,J15430131-3409153,15:43:01.290,-34:09:15.400,158.0,F,,,0.12,0.39,,
3,Lupus,J15430227-3444059,15:43:02.290,-34:44:06.200,158.0,F,,,0.1,0.34,,
4,Lupus,J15445789-3423392,15:44:57.900,-34:23:39.500,153.95,II,0.087,-10.68,0.1,0.24,,2.089296130854041e-11
5,Lupus,J15450634-3417378,15:45:06.322,-34:17:38.332,158.0,F,,,0.11,0.34,464.0,
6,Lupus,J15450887-3417333,15:45:08.852,-34:17:33.835,154.81,II,0.092,-8.156,0.12,0.4,1491.0,6.982324040771704e-09
7,Lupus,Sz68,15:45:12.849,-34:17:31.071,158.0,II,1.32,-8.12,0.18,0.61,4980.0,7.58577575029185e-09
8,Lupus,Sz69,15:45:17.391,-34:18:28.685,152.56,II,0.15,-9.344,0.11,0.24,563.0,4.5289757990362134e-10
9,Lupus,Sz71,15:46:44.709,-34:30:36.054,155.2,II,0.414,-9.033,0.12,0.37,5006.0,9.268298233793504e-10
10,Lupus,Sz72,15:47:50.608,-35:28:35.779,156.71,II,0.374,-8.601,0.11,0.23,409.0,2.5061092530321086e-09
11,Lupus,Sz73,15:47:56.922,-35:14:35.185,157.82,II,0.7,-8.05,0.11,0.39,811.0,8.912509381337441e-09
12,Lupus,Sz74,15:48:05.213,-35:15:53.342,158.0,II,0.3,-7.813,0.13,0.29,615.0,1.5381546403030356e-08
13,Lupus,Sz75,15:49:12.086,-35:39:05.463,158.0,II,0.61,-7.44,0.09,0.34,2558.0,3.63078054770101e-08
14,Lupus,Sz76,15:49:30.719,-35:49:51.825,156.4,II,0.188,-9.109,0.08,0.35,346.0,7.78036551039804e-10
15,Lupus,Sz77,15:51:46.941,-35:56:44.531,155.25,II,0.67,-8.69,0.08,0.2,138.0,2.0417379446695317e-09
16,Lupus,Sz81A,15:55:50.264,-38:01:34.087,158.23,II,0.188,-8.886000000000003,0.12,0.23,319.0,1.300169578033282e-09
17,Lupus,J15560210-3655282,15:56:02.084,-36:55:28.666,157.96,II,,,0.08,0.35,1762.0,
18,Lupus,Sz82,15:56:09.192,-37:56:06.452,155.82,II,0.72,-7.85,0.14,0.21,13722.0,1.4125375446227554e-08
19,Lupus,Sz83,15:56:42.293,-37:49:15.861,158.0,II,0.55,-7.0,0.16,0.56,12522.0,1e-07
20,Lupus,Sz84,15:58:02.501,-37:36:03.146,158.0,TD,0.149,-9.077,0.11,0.32,948.0,8.375292821268827e-10
21,Lupus,Sz129,15:59:16.454,-41:57:10.675,160.13,II,0.73,-8.27,0.12,0.33,5849.0,5.370317963702533e-09
22,Lupus,J15592523-4235066,15:59:25.205,-42:35:06.987,147.25,II,0.085,-11.02,0.1,0.24,35.0,9.549925860214368e-12
23,Lupus,RYLup,15:59:28.374,-40:21:51.559,158.0,TD,1.27,-8.05,0.15,0.5,6459.999999999999,8.912509381337441e-09
24,Lupus,J16000060-4221567,16:00:00.584,-42:21:57.203,159.43,II,0.149,-9.583,0.11,0.25,74.0,2.612161354399205e-10
25,Lupus,J16000236-4222145,16:00:02.340,-42:22:14.962,160.39,II,0.189,-9.484,0.13,0.34,3863.0000000000014,3.2809529311311904e-10
26,Lupus,J16002612-4153553,16:00:26.099,-41:53:55.782,163.17,II,0.108,-9.621,0.1,0.25,34.0,2.393315756405385e-10
27,Lupus,Sz130,16:00:31.022,-41:43:37.387,159.18,II,0.394,-9.097,0.1,0.24,150.0,7.998342550070292e-10
28,Lupus,MYLup,16:00:44.500,-41:55:31.319,158.0,TD,1.19,-8.0,0.13,0.56,5035.0,1e-08
29,Lupus,Sz131,16:00:49.414,-41:30:04.263,160.62,II,0.301,-9.171,0.1,0.23,261.0,6.745280276979229e-10
30,Lupus,J16011549-4152351,16:01:15.531,-41:52:35.515,158.0,II,,,0.1,0.57,1632.9999999999998,
31,Lupus,EXLup,16:03:05.476,-40:18:25.834,154.72,II,0.57,-7.81,0.09,0.35,1403.0,1.5488166189124828e-08
32,Lupus,Sz133,16:03:29.375,-41:40:02.247,158.0,II,,,0.1,0.55,2027.0,
33,Lupus,Sz88A,16:07:00.582,-39:02:19.913,157.64,II,0.653,-8.535,0.12,0.27,278.0,2.9174270140011657e-09
34,Lupus,Sz88B,16:07:00.620,-39:02:18.100,158.37,II,0.146,-9.904,0.1,0.26,,1.2473835142429432e-10
35,Lupus,J16070384-3911113,16:07:03.829,-39:11:11.900,158.0,TD,,,0.11,0.25,74.0,
