starID,time,mass,x,y,z
0,469.816,1.00,0.299,0.042,0.088
1,469.816,0.75,0.247,0.102,-0.029
2,469.816,1.20,0.035,-0.569,-0.066
3,469.816,0.70,-0.313,0.254,0.154
4,469.816,1.10,-0.279,0.351,-0.087
0,470.403,1.00,0.247,0.198,0.007
1,470.403,0.75,0.246,0.109,0.048
2,470.403,1.20,0.175,-0.526,-0.049
3,470.403,0.70,-0.378,0.050,0.095
4,470.403,1.10,-0.343,0.287,-0.045
0,470.991,1.00,0.241,0.299,0.055
1,470.991,0.75,0.139,0.170,-0.052
2,470.991,1.20,0.312,-0.462,-0.031
3,470.991,0.70,-0.415,-0.109,0.004
4,470.991,1.10,-0.390,0.184,0.017
0,471.578,1.00,0.178,0.325,0.062
1,471.578,0.75,0.071,0.301,-0.097
2,471.578,1.20,0.438,-0.378,-0.012
3,471.578,0.70,-0.428,-0.214,-0.087
4,471.578,1.10,-0.416,0.049,0.077
0,472.165,1.00,0.058,0.338,-0.007
1,472.165,0.75,0.054,0.413,-0.038
2,472.165,1.20,0.553,-0.282,0.008
3,472.165,0.70,-0.425,-0.275,-0.152
4,472.165,1.10,-0.423,-0.106,0.120
0,472.752,1.00,-0.000,0.471,-0.016
1,472.752,0.75,-0.055,0.329,-0.054
2,472.752,1.20,0.654,-0.176,0.028
3,472.752,0.70,-0.410,-0.305,-0.179
4,472.752,1.10,-0.415,-0.267,0.135
0,473.340,1.00,-0.055,0.480,0.019
1,473.340,0.75,-0.171,0.379,-0.127
2,473.340,1.20,0.742,-0.065,0.047
3,473.340,0.70,-0.387,-0.320,-0.160
4,473.340,1.10,-0.397,-0.421,0.120
0,473.927,1.00,-0.147,0.445,0.007
1,473.927,0.75,-0.236,0.462,-0.135
2,473.927,1.20,0.820,0.049,0.065
3,473.927,0.70,-0.359,-0.342,-0.093
4,473.927,1.10,-0.372,-0.555,0.075
0,474.514,1.00,-0.273,0.476,-0.083
1,474.514,0.75,-0.251,0.434,-0.038
2,474.514,1.20,0.888,0.163,0.082
3,474.514,0.70,-0.328,-0.399,0.009
4,474.514,1.10,-0.341,-0.652,0.006
0,475.101,1.00,-0.300,0.517,-0.032
1,475.101,0.75,-0.390,0.373,-0.127
2,475.101,1.20,0.948,0.277,0.099
3,475.101,0.70,-0.298,-0.511,0.109
4,475.101,1.10,-0.306,-0.701,-0.062
0,475.689,1.00,-0.361,0.473,-0.011
1,475.689,0.75,-0.478,0.410,-0.172
2,475.689,1.20,1.001,0.389,0.114
3,475.689,0.70,-0.268,-0.663,0.164
4,475.689,1.10,-0.268,-0.712,-0.102
0,476.276,1.00,-0.459,0.406,-0.048
1,476.276,0.75,-0.509,0.464,-0.139
2,476.276,1.20,1.050,0.500,0.130
3,476.276,0.70,-0.237,-0.821,0.163
4,476.276,1.10,-0.230,-0.709,-0.107
0,476.863,1.00,-0.534,0.467,-0.089
1,476.863,0.75,-0.565,0.338,-0.100
2,476.863,1.20,1.093,0.609,0.144
3,476.863,0.70,-0.205,-0.954,0.113
4,476.863,1.10,-0.192,-0.712,-0.081
0,477.451,1.00,-0.563,0.441,-0.043
1,477.451,0.75,-0.673,0.317,-0.176
2,477.451,1.20,1.133,0.717,0.158
3,477.451,0.70,-0.172,-1.049,0.034
4,477.451,1.10,-0.156,-0.732,-0.036
0,478.038,1.00,-0.625,0.368,-0.038
1,478.038,0.75,-0.731,0.351,-0.195
2,478.038,1.20,1.170,0.823,0.172
3,478.038,0.70,-0.136,-1.100,-0.054
4,478.038,1.10,-0.122,-0.772,0.014
0,478.625,1.00,-0.736,0.311,-0.117
1,478.625,0.75,-0.718,0.356,-0.101
2,478.625,1.20,1.203,0.927,0.185
3,478.625,0.70,-0.100,-1.109,-0.135
4,478.625,1.10,-0.091,-0.831,0.059
0,479.212,1.00,-0.752,0.361,-0.085
1,479.212,0.75,-0.824,0.212,-0.154
2,479.212,1.20,1.235,1.029,0.198
3,479.212,0.70,-0.063,-1.084,-0.194
4,479.212,1.10,-0.061,-0.906,0.090
0,479.800,1.00,-0.785,0.300,-0.052
1,479.800,0.75,-0.903,0.209,-0.208
2,479.800,1.20,1.264,1.130,0.211
3,479.800,0.70,-0.027,-1.034,-0.220
4,479.800,1.10,-0.033,-0.990,0.099
0,480.387,1.00,-0.852,0.209,-0.069
1,480.387,0.75,-0.928,0.241,-0.194
2,480.387,1.20,1.291,1.230,0.223
3,480.387,0.70,0.007,-0.977,-0.203
4,480.387,1.10,-0.006,-1.074,0.081
0,480.974,1.00,-0.931,0.224,-0.136
1,480.974,0.75,-0.933,0.127,-0.113
2,480.974,1.20,1.317,1.328,0.235
3,480.974,0.70,0.038,-0.933,-0.140
4,480.974,1.10,0.022,-1.145,0.033
0,481.561,1.00,-0.934,0.200,-0.080
1,481.561,0.75,-1.033,0.060,-0.194
2,481.561,1.20,1.342,1.424,0.247
3,481.561,0.70,0.063,-0.930,-0.043
4,481.561,1.10,0.050,-1.184,-0.036
0,482.149,1.00,-0.970,0.116,-0.063
1,482.149,0.75,-1.084,0.069,-0.224
2,482.149,1.20,1.365,1.520,0.258
3,482.149,0.70,0.083,-0.990,0.055
4,482.149,1.10,0.079,-1.180,-0.106
0,482.736,1.00,-1.049,0.021,-0.112
1,482.736,0.75,-1.072,0.088,-0.165
2,482.736,1.20,1.387,1.614,0.270
3,482.736,0.70,0.101,-1.099,0.109
4,482.736,1.10,0.108,-1.140,-0.149
0,483.323,1.00,-1.075,0.064,-0.121
1,483.323,0.75,-1.125,-0.080,-0.159
2,483.323,1.20,1.408,1.707,0.281
3,483.323,0.70,0.118,-1.217,0.102
4,483.323,1.10,0.134,-1.092,-0.152
0,483.910,1.00,-1.083,0.002,-0.078
1,483.910,0.75,-1.197,-0.111,-0.222
2,483.910,1.20,1.428,1.799,0.292
3,483.910,0.70,0.137,-1.310,0.046
4,483.910,1.10,0.156,-1.055,-0.125
0,484.498,1.00,-1.124,-0.097,-0.079
1,484.498,0.75,-1.219,-0.095,-0.226
2,484.498,1.20,1.447,1.890,0.302
3,484.498,0.70,0.158,-1.364,-0.036
4,484.498,1.10,0.175,-1.040,-0.081
0,485.085,1.00,-1.206,-0.136,-0.164
1,485.085,0.75,-1.182,-0.164,-0.118
2,485.085,1.20,1.466,1.980,0.313
3,485.085,0.70,0.179,-1.375,-0.125
4,485.085,1.10,0.190,-1.049,-0.033
0,485.672,1.00,-1.188,-0.137,-0.107
1,485.672,0.75,-1.272,-0.286,-0.197
2,485.672,1.20,1.483,2.069,0.323
3,485.672,0.70,0.200,-1.348,-0.203
4,485.672,1.10,0.202,-1.079,0.009
0,486.260,1.00,-1.201,-0.223,-0.079
1,486.260,0.75,-1.317,-0.297,-0.239
2,486.260,1.20,1.500,2.157,0.334
3,486.260,0.70,0.219,-1.290,-0.258
4,486.260,1.10,0.213,-1.127,0.035
0,486.847,1.00,-1.250,-0.331,-0.106
1,486.847,0.75,-1.307,-0.280,-0.207
2,486.847,1.20,1.517,2.244,0.344
3,486.847,0.70,0.237,-1.212,-0.279
4,486.847,1.10,0.222,-1.185,0.040
0,487.434,1.00,-1.286,-0.311,-0.149
1,487.434,0.75,-1.309,-0.437,-0.153
2,487.434,1.20,1.533,2.330,0.354
3,487.434,0.70,0.250,-1.129,-0.256
4,487.434,1.10,0.230,-1.243,0.017
0,488.021,1.00,-1.270,-0.366,-0.097
1,488.021,0.75,-1.375,-0.497,-0.225
2,488.021,1.20,1.549,2.416,0.364
3,488.021,0.70,0.258,-1.065,-0.188
4,488.021,1.10,0.239,-1.287,-0.036
0,488.609,1.00,-1.286,-0.467,-0.085
1,488.609,0.75,-1.394,-0.495,-0.243
2,488.609,1.20,1.564,2.501,0.374
3,488.609,0.70,0.260,-1.048,-0.089
4,488.609,1.10,0.248,-1.299,-0.108
0,489.196,1.00,-1.351,-0.562,-0.155
1,489.196,0.75,-1.341,-0.506,-0.153
2,489.196,1.20,1.578,2.585,0.383
3,489.196,0.70,0.257,-1.097,0.005
4,489.196,1.10,0.258,-1.267,-0.176
0,489.783,1.00,-1.332,-0.532,-0.129
1,489.783,0.75,-1.396,-0.683,-0.190
2,489.783,1.20,1.592,2.669,0.393
3,489.783,0.70,0.252,-1.192,0.049
4,489.783,1.10,0.265,-1.204,-0.213
0,490.370,1.00,-1.320,-0.614,-0.091
1,490.370,0.75,-1.435,-0.713,-0.243
2,490.370,1.20,1.606,2.751,0.403
3,490.370,0.70,0.247,-1.289,0.031
4,490.370,1.10,0.269,-1.137,-0.211
0,490.958,1.00,-1.342,-0.727,-0.101
1,490.958,0.75,-1.423,-0.703,-0.231
2,490.958,1.20,1.620,2.834,0.412
3,490.958,0.70,0.245,-1.360,-0.032
4,490.958,1.10,0.267,-1.086,-0.180
0,491.545,1.00,-1.384,-0.741,-0.171
1,491.545,0.75,-1.378,-0.826,-0.140
2,491.545,1.20,1.633,2.915,0.421
3,491.545,0.70,0.244,-1.389,-0.117
4,491.545,1.10,0.261,-1.059,-0.135
0,492.132,1.00,-1.344,-0.777,-0.112
1,492.132,0.75,-1.437,-0.921,-0.220
2,492.132,1.20,1.646,2.996,0.431
3,492.132,0.70,0.243,-1.378,-0.204
4,492.132,1.10,0.252,-1.058,-0.088
0,492.720,1.00,-1.335,-0.876,-0.090
1,492.720,0.75,-1.449,-0.932,-0.251
2,492.720,1.20,1.658,3.076,0.440
3,492.720,0.70,0.240,-1.330,-0.279
4,492.720,1.10,0.239,-1.078,-0.049
0,493.307,1.00,-1.367,-0.990,-0.132
1,493.307,0.75,-1.399,-0.924,-0.196
2,493.307,1.20,1.670,3.156,0.449
3,493.307,0.70,0.236,-1.254,-0.328
4,493.307,1.10,0.224,-1.115,-0.027
0,493.894,1.00,-1.357,-0.963,-0.148
1,493.894,0.75,-1.398,-1.105,-0.177
2,493.894,1.20,1.682,3.236,0.458
3,493.894,0.70,0.227,-1.161,-0.341
4,493.894,1.10,0.207,-1.162,-0.028
0,494.481,1.00,-1.319,-1.035,-0.101
1,494.481,0.75,-1.429,-1.154,-0.241
2,494.481,1.20,1.694,3.314,0.467
3,494.481,0.70,0.213,-1.068,-0.308
4,494.481,1.10,0.189,-1.208,-0.058
0,495.069,1.00,-1.312,-1.146,-0.097
1,495.069,0.75,-1.410,-1.151,-0.246
2,495.069,1.20,1.706,3.393,0.476
3,495.069,0.70,0.192,-1.001,-0.231
4,495.069,1.10,0.172,-1.237,-0.116
0,495.656,1.00,-1.351,-1.209,-0.180
1,495.656,0.75,-1.323,-1.213,-0.136
2,495.656,1.20,1.717,3.470,0.485
