time after microwave pulse,dqc_echo,sqc_echo
-54,0.00492,-0.00105
-50,0.00609,-0.00115
-46,0.00714,-0.00202
-42,0.00519,-0.00206
-38,0.01078,-0.00564
-34,0.0119,-0.01112
-30,0.01514,-0.0109
-26,0.02294,-0.01566
-22,0.01931,-0.00425
-18,0.01512,0.01025
-14,0.0084,0.01576
-10,0.00984,0.01203
-6,-0.00251,0.01834
-2,0.00375,0.00947
2,0.00594,9.17E-04
6,0.00517,-8.55E-04
10,0.01097,0.00335
14,0.00753,0.00253
18,0.00802,0.00506
22,0.00615,0.00228
26,0.005,0.00211
30,0.00863,0.00258
34,0.00633,0.00113
38,0.00283,9.84E-04
42,0.00509,0.00205
46,0.0037,7.92E-05
50,0.00767,-4.50E-04
54,0.00918,-0.0014
58,0.00851,-6.67E-04
62,0.00839,0.00166
66,0.0064,1.08E-04
70,0.00688,9.09E-04
74,-0.02501,-0.03759
78,-0.22786,-1.13E-04
82,-0.21999,-0.01243
86,-0.16389,5.29E-04
90,-0.12438,0.0625
94,-0.08238,0.05418
98,-0.04973,0.03323
102,-0.03623,0.02009
106,-0.02636,0.01815
110,-0.02019,0.019
114,-0.01702,0.02747
118,-0.01158,0.03639
122,-0.00744,0.0466
126,-9.22E-04,0.05299
130,0.0033,0.056
134,0.00668,0.05621
138,0.00194,0.0521
142,-0.0013,0.05335
146,-0.01097,0.04768
150,-0.01819,0.04197
154,-0.02048,0.03411
158,-0.02146,0.02709
162,-0.01702,0.0282
166,-0.015,0.01957
170,-0.01103,0.01503
174,-0.01132,0.01114
178,-0.00699,0.01108
182,-0.00482,0.0047
186,-0.00596,0.00396
190,-0.00327,0.00273
194,0.00238,0.00188
198,0.00188,0.00293
202,0.00523,0.00652
206,0.00273,0.00577
210,-5.07E-04,0.00127
214,-0.002,0.00244
218,-0.0097,-0.00105
222,-0.01081,-0.00236
226,-0.01205,0.00237
230,-0.01005,4.59E-04
234,-0.00503,2.21E-04
238,-6.61E-04,0.00184
242,0.00487,0.00779
246,0.00474,0.00411
250,0.00461,0.00158
254,-0.00109,0.00185
258,-0.00789,-9.25E-04
262,-0.01087,-0.00182
266,-0.00857,-0.00454
270,0.0012,-5.59E-04
274,0.01691,0.00441
278,0.03058,0.00522
282,0.04406,0.0113
286,0.05095,0.01211
290,0.05048,0.01308
