name,x,alt
BYRNE,0.535,0.328
ROBY,0.36,0.765
ROGERS,0.333,0.51
ADERHOLT,0.358,0.688
BROOKS,0.593,-0.348
PALMER,0.788,-0.124
SEWELL,-0.407,0.467
YOUNG,0.279,-0.005
KIRKPATRIC,-0.161,0.005
MCSALLY,0.321,0.014
GRIJALVA,-0.6,-0.216
GOSAR,0.604,-0.272
SALMON,0.673,-0.272
SCHWEIKERT,0.642,-0.327
GALLEGO,-0.484,-0.011
FRANKS,0.753,0.14
SINEMA,-0.114,0.039
CRAWFORD,0.355,0.571
HILL,0.467,0.169
WOMACK,0.328,0.699
WESTERMAN,0.527,0.43
LAMALFA,0.563,0.216
HUFFMAN,-0.433,-0.463
GARAMENDI,-0.313,-0.1
MCCLINTOCK,0.753,-0.565
THOMPSON,-0.399,0.08
MATSUI,-0.444,-0.16
BERA,-0.221,-0.047
COOK,0.407,0.206
MCNERNEY,-0.258,-0.114
DENHAM,0.31,0.222
DESAULNIER,-0.494,-0.258
PELOSI,-0.494,-0.195
LEE,-0.684,-0.637
SPEIER,-0.389,-0.459
SWALWELL,-0.369,-0.095
COSTA,-0.199,0.54
HONDA,-0.529,-0.482
ESHOO,-0.385,-0.42
LOFGREN,-0.403,-0.431
FARR,-0.455,-0.219
VALADAO,0.251,0.37
NUNES,0.449,0.256
MCCARTHY,0.459,0.276
CAPPS,-0.389,-0.227
KNIGHT,0.445,0.147
BROWNLEY,-0.275,0.039
CHU,-0.512,-0.277
SCHIFF,-0.346,-0.129
CARDENAS,-0.373,0.017
SHERMAN,-0.346,-0.124
AGUILAR,-0.268,0.124
NAPOLITA,-0.448,-0.226
LIEU,-0.325,-0.505
BECERRA,-0.513,-0.265
TORRES,-0.372,0.047
RUIZ,-0.232,0.056
BASS,-0.549,-0.14
SANCHEZ,-0.507,-0.154
ROYCE,0.666,-0.335
ROYBAL-A,-0.473,-0.192
TAKANO,-0.476,-0.14
CALVERT,0.345,0.232
WATERS,-0.663,-0.076
HAHN,-0.39,-0.376
WALTERS,0.389,0.26
SANCHEZ,-0.367,0.025
LOWENTHAL,-0.436,-0.382
ROHRABAC,0.629,-0.405
ISSA,0.506,-0.013
HUNTER,0.511,0.282
VARGAS,-0.381,0.135
PETERS,-0.178,-0.081
DAVIS,-0.348,-0.072
DEGETTE,-0.437,-0.291
POLIS,-0.285,-0.614
TIPTON,0.46,0.039
BUCK,0.73,-0.544
LAMBORN,0.692,0.272
COFFMAN,0.496,-0.119
PERLMUTTER,-0.303,0.185
LARSON,-0.405,-0.045
COURTNEY,-0.353,0.066
DELAURO,-0.421,-0.095
HIMES,-0.246,-0.236
ESTY,-0.309,-0.109
CARNEY,-0.256,-0.142
MILLER,0.633,0.155
GRAHAM,-0.233,0.255
YOHO,0.698,-0.432
CRENSHAW,0.333,0.337
BROWN,-0.429,0.192
DESANTIS,0.662,-0.109
MICA,0.453,0.137
POSEY,0.508,-0.281
GRAYSON,-0.363,-0.457
WEBSTER,0.464,0.114
NUGENT,0.483,0.077
BILIRAKI,0.392,0.084
JOLLY,0.23,0.058
CASTOR,-0.438,0.041
ROSS,0.539,0.123
BUCHANAN,0.355,-0.13
ROONEY,0.466,0.085
MURPHY,-0.186,-0.026
CLAWSON,0.626,-0.509
HASTINGS,-0.567,0.16
DEUTCH,-0.428,-0.042
FRANKEL,-0.429,-0.018
WASSERMA,-0.44,0.13
WILSON,-0.481,0.018
DIAZ-BAL,0.277,0.104
CURBELO,0.192,-0.182
ROS-LEHT,0.245,-0.205
CARTER,0.551,0.271
BISHOP,-0.289,0.537
WESTMORE,0.672,0.189
JOHNSON,-0.476,0.09
LEWIS,-0.587,-0.239
PRICE,0.642,0.017
WOODALL,0.658,-0.254
SCOTT,0.6,0.343
COLLINS,0.663,0.107
HICE,0.714,-0.1
LOUDERMILK,0.671,-0.058
ALLEN,0.616,0.435
SCOTT,-0.306,0.189
GRAVES,0.756,-0.103
TAKAI,-0.363,-0.038
HANABUSA,-0.377,0.009
GABBARD,-0.28,-0.163
LABRADOR,0.729,-0.626
SIMPSON,0.294,0.28
RUSH,-0.481,-0.183
KELLY,-0.448,-0.006
LIPINSKI,-0.241,0.219
GUTIERRE,-0.485,-0.257
QUIGLEY,-0.319,-0.301
ROSKAM,0.438,0.071
DAVIS,-0.492,-0.22
DUCKWORTH,-0.292,0.065
SCHAKOWS,-0.602,-0.276
DOLD,0.176,-0.207
FOSTER,-0.219,-0.184
BOST,0.281,0.372
DAVIS,0.295,0.111
HULTGREN,0.498,-0.006
SHIMKUS,0.371,0.172
KINZINGER,0.27,0.315
BUSTOS,-0.241,0.085
SCHOCK,0.311,0.185
LAHOOD,0.428,0.07
VISCLOSK,-0.404,0.257
WALORSKI,0.429,0.478
STUTZMAN,0.742,-0.119
ROKITA,0.593,-0.122
BROOKS,0.37,0.447
MESSER,0.555,0.029
CARSON,-0.443,0.131
BUCSHON,0.393,0.328
YOUNG,0.491,0.144
BLUM,0.516,-0.395
LOEBSACK,-0.282,-0.049
YOUNG,0.441,0.066
KING,0.62,0.382
HUELSKAMP,0.744,-0.466
JENKINS,0.522,0.081
YODER,0.572,0.087
POMPEO,0.667,0.238
WHITFIEL,0.303,0.182
COMER,0.541,-0.059
GUTHRIE,0.396,0.331
YARMUTH,-0.383,-0.24
MASSIE,0.604,-0.797
ROGERS,0.332,0.072
BARR,0.47,0.443
SCALISE,0.559,0.213
RICHMOND,-0.472,0.351
BOUSTANY,0.392,0.308
FLEMING,0.59,0.022
ABRAHAM,0.487,0.496
GRAVES,0.49,-0.07
PINGREE,-0.429,-0.419
POLIQUIN,0.367,-0.246
HARRIS,0.597,-0.198
RUPPERSBE,-0.303,0.172
SARBANES,-0.461,-0.103
EDWARDS,-0.562,-0.294
HOYER,-0.38,0.129
DELANEY,-0.276,0.023
CUMMINGS,-0.439,-0.14
VAN HOLLE,-0.403,-0.159
NEAL,-0.417,-0.12
MCGOVERN,-0.534,-0.338
TSONGAS,-0.409,-0.168
KENNEDY,-0.448,-0.068
CLARK,-0.479,-0.51
MOULTON,-0.34,0.019
CAPUANO,-0.58,-0.1
LYNCH,-0.352,0.026
KEATING,-0.335,-0.153
BENISHEK,0.491,-0.15
HUIZENGA,0.64,-0.053
AMASH,0.647,-0.763
MOOLENAAR,0.429,0.481
KILDEE,-0.421,-0.119
UPTON,0.337,-0.402
WALBERG,0.528,0.083
BISHOP,0.436,0.156
LEVIN,-0.379,-0.075
MILLER,0.343,-0.001
TROTT,0.372,0.338
DINGELL D,-0.468,0.039
CONYERS,-0.66,-0.465
LAWRENCE,-0.457,-0.032
WALZ,-0.28,0.177
KLINE,0.49,0.154
PAULSEN,0.404,-0.139
MCCOLLUM,-0.425,-0.154
ELLISON,-0.541,-0.532
EMMER,0.421,-0.063
PETERSON,-0.144,0.755
NOLAN,-0.377,-0.442
KELLY,0.539,0.334
THOMPSON,-0.519,0.434
HARPER,0.38,0.553
PALAZZO,0.5,0.66
CLAY,-0.491,-0.045
WAGNER,0.447,0.337
LUETKEMEYER,0.445,0.327
HARTZLER,0.504,0.525
CLEAVER,-0.458,0.042
GRAVES,0.429,0.203
LONG,0.578,0.461
SMITH,0.614,0.38
ZINKE,0.409,-0.073
FORTENBE,0.295,-0.03
ASHFORD,-0.185,0.441
SMITH,0.506,0.299
TITUS,-0.296,-0.158
AMODEI,0.386,0.193
HECK,0.324,0.014
HARDY,0.353,0.209
GUINTA,0.427,-0.073
KUSTER,-0.259,-0.147
NORCROSS,-0.38,0.239
LOBIONDO,0.2,-0.173
