name,x,alt
"SEWELL, Terri",-0.393,0.4
"ROBY, Martha",0.362,0.658
"BROOKS, Mo",0.653,-0.434
"BYRNE, Bradley",0.61,0.25
"PALMER, Gary James",0.703,-0.021
"ADERHOLT, Robert",0.375,0.582
"YOUNG, Donald Edwin",0.284,0.021
"GRIJALVA, Raúl M.",-0.598,-0.255
"KIRKPATRICK, Ann",-0.166,-0.004
"GOSAR, Paul",0.683,-0.431
"SCHWEIKERT, David",0.582,-0.311
"GALLEGO, Ruben",-0.451,0
"BIGGS, Andrew S.",0.883,-0.469
"O'HALLERAN, Thomas C.",-0.193,0.163
"LESKO, Debbie",0.6,-0.025
"STANTON, Greg",-0.319,0.019
"CRAWFORD, Rick",0.426,0.494
"WOMACK, Steve",0.354,0.576
"HILL, French",0.447,0.241
"WESTERMAN, Bruce Eugene",0.553,0.292
"PELOSI, Nancy",-0.49,-0.206
"SCHIFF, Adam",-0.349,-0.131
"DAVIS, Susan A.",-0.343,-0.103
"NUNES, Devin",0.45,0.22
"SÁNCHEZ, Linda T.",-0.508,-0.138
"COSTA, Jim",-0.192,0.461
"MATSUI, Doris",-0.434,-0.161
"McNERNEY, Jerry",-0.263,-0.157
"MCCARTHY, Kevin",0.456,0.223
"SPEIER, Karen Lorraine Jacqueline (Jackie)",-0.38,-0.428
"McCLINTOCK, Tom",0.715,-0.474
"CHU, Judy",-0.488,-0.374
"GARAMENDI, John",-0.309,-0.097
"HUNTER, Duncan Duane",0.539,0.085
"BASS, Karen",-0.585,-0.11
"LaMALFA, Doug",0.535,0.069
"HUFFMAN, Jared",-0.427,-0.548
"BERA, Ami",-0.234,0.017
"COOK, Paul",0.372,0.208
"SWALWELL, Eric",-0.365,-0.102
"BROWNLEY, Julia",-0.287,0.054
"CÁRDENAS, Tony",-0.384,0.017
"RUIZ, Raul",-0.244,0.06
"TAKANO, Mark",-0.464,-0.255
"LOWENTHAL, Alan",-0.451,-0.373
"VARGAS, Juan",-0.4,0.086
"PETERS, Scott",-0.181,-0.033
"DESAULNIER, Mark James",-0.531,-0.374
"AGUILAR, Peter Rey",-0.294,0.14
"LIEU, Ted",-0.374,-0.255
"TORRES, Norma Judith",-0.362,0.043
"BARRAGÁN, Nanette Diaz",-0.515,0.017
"CARBAJAL, Salud",-0.301,0.13
"CORREA, Jose Luis",-0.28,0.275
"KHANNA, Rohit",-0.569,-0.288
"PANETTA, James Varni",-0.308,0.073
"GOMEZ, Jimmy",-0.585,-0.142
"CISNEROS, Gil",-0.376,0.575
"COX, TJ",-0.343,0.478
"HARDER, Josh",-0.38,0.729
"HILL, Katie",-0.306,0.114
"LEVIN, Mike",-0.374,0.195
"PORTER, Katie",-0.184,-0.071
"ROUDA, Harley",-0.336,0.559
"GARCIA, Mike",0.375,0.136
"WATERS, Maxine",-0.653,-0.072
"ESHOO, Anna Georges",-0.381,-0.423
"ROYBAL-ALLARD, Lucille",-0.469,-0.182
"CALVERT, Ken",0.35,0.226
"LOFGREN, Zoe",-0.402,-0.442
"SHERMAN, Brad",-0.342,-0.145
"LEE, Barbara",-0.682,-0.586
"THOMPSON, Michael",-0.395,0.066
"NAPOLITANO, Grace Flores",-0.448,-0.249
"LAMBORN, Doug",0.677,0.203
"PERLMUTTER, Ed",-0.282,0.076
"TIPTON, Scott",0.451,-0.023
